feature,importance_gain,importance_split
close_ret_last1h,37524.02185153961,257
close_range_pct,22827.735122442245,168
vix_5d_avg,10541.573772788048,167
vix_prev_close,8414.636212289333,166
usdidr_prev_close,8034.513679727912,125
close_vs_open_day,7185.837783813477,123
gap_up2_followthrough_freq_20d,5384.735728502274,47
overnight_positive_rate20,4845.3294513225555,63
usdidr_5d_return,3606.92701369524,112
overnight_positive_rate60,3451.940920114517,58
nikkei_prev_return,3094.1130325198174,123
nasdaq_prev_return,2966.3768525123596,85
gap_up2_followthrough_freq_5d,2902.3008823394775,44
usdidr_prev_return,2891.386381626129,80
yf_daily_ret_cc_mean,1616.9182014465332,39
yf_daily_close_z_60_mean,1310.336522102356,44
overnight_ret_ma5,1306.908408164978,51
overnight_worst_5d,1246.5607652664185,34
gap_up2_freq_20d,1244.7073100209236,30
overnight_p10_5d,1226.9274187088013,35
overnight_ret_ma60,1102.6316307783127,53
yf_daily_ret_cc_sum,979.7156229019165,27
gap_up2_freq_60d,978.949312210083,29
yf_daily_high_mean,963.12038230896,14
yf_daily_close_z_20_mean,958.0749549865723,23
yf_daily_close_z_60_sum,957.8497331142426,39
overnight_worst_20d,936.2441124916077,29
yf_daily_ret_oc_mean,829.7596483230591,28
yf_daily_ret_oc_sum,798.2550764083862,27
overnight_ret_ma20,755.4760529398918,43
yf_daily_range_ma_5_mean,713.3143973350525,26
yf_daily_volume_velocity_5_mean,669.3048197627068,24
gap_down2_freq_5d,654.2240262031555,19
overnight_p10_20d,571.20825278759,31
bandar_abs_netbuy_sum,511.00469493865967,17
yf_daily_gap_open_prev_close_mean,510.6011619567871,15
overnight_positive_rate5,509.27585649490356,18
yf_daily_open_mean,479.80068731307983,11
gap_up2_followthrough_freq_60d,475.4400386810303,23
gapdown_freq_20d,457.48831129074097,15
yf_daily_turnover_mean,456.0216616988182,12
gap_up2_freq_5d,451.2597804069519,11
overnight_worst_60d,449.4072944521904,31
yf_daily_volume_velocity_60_sum,441.54209184646606,20
yf_daily_close_z_5_mean,427.63158226013184,15
yf_daily_range_z_60_sum,399.69018268585205,9
yf_daily_low_mean,398.14863523840904,10
gap_up2_down2_edge_5d,389.86363697052,18
yf_daily_range_ma_60_sum,372.9187169075012,13
gap_down2_freq_60d,364.25928914546967,30
ctx_broker_market_share_mean,358.4501271247864,20
gap_down2_freq_20d,335.80964398384094,19
gapdown_freq_60d,323.23480892181396,19
yf_daily_volume_velocity_20_mean,268.8579514026642,16
gapdown_severe_freq_20d,260.7744140625,11
yf_daily_range_ma_60_mean,256.7283821105957,17
flow_abs_net_buy_mean,253.88109874725342,12
yf_daily_turnover_sum,243.97610998153687,9
yf_daily_close_ma_5_mean,243.263090133667,8
localfund_abs_netbuy_sum,225.7698106765747,8
localfund_buy_freq_std30,222.5640573501587,9
yf_daily_range_pct_mean,220.13348948955536,18
yf_daily_gap_open_prev_close_sum,212.1664276123047,7
yf_daily_close_ma_5_sum,211.8597011566162,6
yf_daily_range_z_60_mean,208.6397010087967,14
overnight_p10_60d,192.70806163549423,15
yf_daily_volume_mean,188.66972088813782,8
gapdown_severe_freq_60d,184.0232115983963,10
yp_flow_churn_ratio,182.80420017242432,8
yf_daily_close_ma_20_mean,165.65785217285156,6
tfl_net_buy_velocity_5_mean,162.185968875885,11
yf_daily_close_ma_60_sum,161.12410163879395,5
yf_daily_range_pct_sum,158.8196029663086,6
localfund_buy_freq_ma30,155.20049953460693,7
yf_daily_range_ma_20_mean,153.24354100227356,10
bandar_buy_freq_sum,145.53099918365479,5
yf_daily_close_z_20_sum,144.18309688568115,9
flow_churn_ratio_mean,143.0786008834839,9
gap_up2_down2_edge_20d,141.93688648939133,11
ctx_ticker_market_share_mean,140.88188886642456,7
yf_daily_volume_ma_60_sum,139.11024951934814,7
yf_daily_range_z_5_mean,137.9284701347351,9
cvd_5d_norm,136.08589887619019,10
tfl_churn_ratio_ma_60_mean,131.85662877559662,6
gap_up2_down2_edge_60d,129.5635793209076,13
localfund_netbuy_std20,128.91876029968262,10
yf_daily_volume_velocity_60_mean,127.69285893440247,10
flow_buy_freq_sum,122.70049810409546,6
yf_daily_high_sum,121.24939727783203,5
yf_daily_range_z_5_sum,119.34786176681519,8
flow_total_net_buy_sum,115.59839916229248,7
yf_daily_volume_ma_20_sum,115.07374811172485,6
cvd_10d_norm,114.09710025787354,9
tfl_churn_ratio_ma_60_sum,112.84891843795776,5
yf_daily_volume_velocity_5_sum,112.22922992706299,7
tfl_net_buy_z_5_mean,110.94287061691284,8
localfund_netbuy_sum,110.22080039978027,3
tfl_net_buy_z_5_sum,108.33570957183838,6
yf_daily_range_ma_20_sum,107.98511219024658,6
localfund_netbuy_ma20,106.86185932159424,7
localfund_buy_freq_sum,106.85065984725952,3
cvd_5d,106.51439905166626,9
yf_daily_prev_close_mean,105.80789947509766,2
ctx_broker_market_share_sum,104.56290245056152,4
localfund_netbuy_z20,99.90131044387817,7
yf_daily_range_ma_5_sum,95.93183088302612,7
yf_daily_close_z_5_sum,95.17108964920044,6
flow_total_trades_mean,94.19361066818237,4
flow_gross_turnover_mean,92.41838192939758,5
tfl_net_buy_ma_60_mean,89.55380058288574,4
yf_daily_volume_ma_60_mean,88.07520008087158,5
tfl_net_flow_ratio_ma_60_mean,86.40049171447754,4
yf_daily_open_sum,81.78869819641113,3
bandar_buy_freq_mean,81.7445707321167,6
tfl_net_flow_ratio_ma_60_sum,80.67697048187256,5
flow_churn_ratio_sum,79.793701171875,5
yf_daily_volume_ma_5_mean,78.50328135490417,6
yf_daily_range_z_20_sum,77.84339904785156,5
localfund_netbuy_3d_sum,75.39966011047363,6
flow_net_buy_per_trade_sum,74.75885152816772,6
localfund_buy_freq_z30,74.63010025024414,5
yf_daily_close_ma_20_sum,73.22379004955292,4
flow_sell_freq_mean,72.90651082992554,6
cvd_20d,71.93562030792236,8
localfund_consensus_strength,71.91321063041687,5
ctx_broker_ticker_specificity_sum,71.25199890136719,2
sq_flow_churn_ratio,70.53798842430115,7
bandar_netbuy_sum,70.0109190940857,4
bandar_concentration_hhi,69.99630165100098,4
localfund_netbuy_7d_sum,67.83110976219177,5
mg_flow_churn_ratio,67.34673929214478,4
localfund_netbuy_mean,66.66162109375,2
flow_net_flow_ratio_mean,65.53985437750816,5
tfl_net_flow_ratio_ma_20_mean,65.07170009613037,4
yf_daily_volume_ma_5_sum,59.983041524887085,3
ctx_broker_ticker_specificity_mean,59.053799629211426,3
localfund_buy_freq_mean,55.688058853149414,3
tfl_net_buy_velocity_20_sum,54.45589828491211,2
tfl_net_flow_ratio_ma_5_sum,53.21385097503662,4
tfl_churn_ratio_ma_20_mean,52.529229402542114,6
yf_daily_close_mean,51.63059997558594,1
gapdown_severe_freq_5d,50.86530017852783,4
flow_buy_freq_mean,50.85540008544922,2
tfl_churn_ratio_ma_5_mean,49.394721031188965,4
cvd_20d_norm,48.43190002441406,3
yf_daily_volume_ma_20_mean,45.9413902759552,4
flow_abs_net_buy_sum,45.56925106048584,4
yf_daily_close_ma_60_mean,44.615610122680664,3
yf_daily_close_sum,44.48387002944946,3
flow_gross_turnover_sum,44.4114990234375,2
flow_net_buy_per_trade_mean,43.628170013427734,3
tfl_net_buy_z_20_mean,42.951449394226074,4
localfund_top1_share,42.15842080116272,4
yf_daily_volume_velocity_20_sum,41.886000633239746,3
tfl_net_buy_ma_5_mean,41.72591018676758,5
tfl_net_buy_velocity_5_sum,41.61969041824341,5
flow_sell_freq_sum,41.26149940490723,2
pd_flow_total_net_buy,41.098599433898926,3
gapdown_freq_5d,39.74100112915039,1
tfl_net_buy_z_20_sum,39.062499046325684,2
tfl_net_buy_velocity_60_sum,39.02117896080017,3
localfund_concentration_hhi,38.761290550231934,4
tfl_net_flow_ratio_ma_20_sum,38.5346200466156,5
tfl_churn_ratio_ma_5_sum,37.70484972000122,4
ctx_ticker_market_share_sum,37.15014970302582,4
localfund_buy_freq_ratio_to_ma30,37.12193036079407,4
tfl_net_buy_z_60_sum,36.601890087127686,3
localfund_participation_ratio,35.263099670410156,2
bandar_top1_share,34.26463031768799,3
flow_net_flow_ratio_sum,33.707200050354004,2
tfl_net_buy_z_60_mean,33.63540005683899,3
tfl_net_flow_ratio_ma_5_mean,30.647879600524902,3
buyer_ratio,30.284399032592773,2
yf_daily_volume_sum,29.864800453186035,2
tfl_churn_ratio_ma_20_sum,28.867989540100098,2
yf_daily_prev_close_sum,27.394100189208984,2
localfund_buyer_ratio,26.566899299621582,2
yf_daily_range_z_20_mean,26.338329315185547,3
seller_ratio,26.05482006072998,3
tfl_net_buy_velocity_60_mean,23.779769897460938,2
bandar_seller_broker_count,23.578369617462158,4
tfl_net_buy_velocity_20_mean,23.06282514333725,3
tfl_net_buy_ma_5_sum,21.14539909362793,1
xl_buy_freq_ma20,20.153099060058594,1
xc_tfl_net_buy_z_20,20.08639907836914,1
localfund_top3_share,19.816960334777832,2
pd_flow_churn_ratio,18.873899459838867,1
pd_tfl_net_buy_z_20,18.66189956665039,1
bandar_buyer_broker_count,17.242700576782227,1
xl_freq_surge,15.816559791564941,2
flow_total_net_buy_mean,15.653300285339355,1
seller_broker_count,14.55620002746582,1
tfl_net_buy_ma_20_mean,14.523050308227539,2
localfund_buyer_broker_count,14.288999557495117,1
tfl_net_buy_ma_20_sum,14.117400169372559,1
bandar_top3_share,12.39009952545166,1
localfund_streak_buy_days,9.131349563598633,1
sq_tfl_net_buy_z_20,8.850099563598633,1
cvd_10d,6.645335137844086,2
flow_total_trades_sum,0.0,0
xl_buy_freq_ma5,0.0,0
xl_sell_freq_ma5,0.0,0
ctx_broker_net_buy_rank_mean,0.0,0
yf_daily_low_sum,0.0,0
tfl_net_buy_ma_60_sum,0.0,0
ctx_broker_net_buy_rank_sum,0.0,0
sq_flow_total_net_buy,0.0,0
xc_tfl_net_buy_velocity_20,0.0,0
xc_flow_net_flow_ratio,0.0,0
xc_present,0.0,0
xc_flow_churn_ratio,0.0,0
mg_flow_total_net_buy,0.0,0
mg_tfl_net_buy_z_20,0.0,0
mg_flow_net_flow_ratio,0.0,0
mg_tfl_net_buy_velocity_20,0.0,0
buyer_broker_count,0.0,0
broker_count,0.0,0
mg_present,0.0,0
xc_flow_total_net_buy,0.0,0
sq_tfl_net_buy_velocity_20,0.0,0
bandar_broker_count,0.0,0
localfund_broker_count,0.0,0
bandar_netbuy_mean,0.0,0
pd_tfl_net_buy_velocity_20,0.0,0
yp_flow_total_net_buy,0.0,0
sq_present,0.0,0
localfund_seller_broker_count,0.0,0
yp_flow_net_flow_ratio,0.0,0
yp_tfl_net_buy_velocity_20,0.0,0
yp_tfl_net_buy_z_20,0.0,0
yp_present,0.0,0
pd_present,0.0,0
pd_flow_net_flow_ratio,0.0,0
total_retail_net_buy,0.0,0
sq_flow_net_flow_ratio,0.0,0
