feature,importance_gain,importance_split
pre14_tick_pct,13951.678473472595,53
last_hour_above_vwap,11777.02221608162,34
close_to_vwap,7267.223375797272,68
close_range_pct,6355.919716835022,33
close_drive,6296.41192317009,54
pre14_close_vs_orb_low,6275.6150550842285,48
pre14_spread_cost_est,3869.4040908813477,15
pre14_vwap,3550.174798965454,20
pre14_close_vs_orb_mid,3294.6099853515625,18
pre14_range_pct,3221.4375705718994,17
pre14_close_to_vwap,3044.338487148285,36
pre14_close_vs_open9,2569.3521995544434,22
pre14_turnover_until14,2164.9662286043167,37
pre14_orb_position,1657.4098176956177,14
pre14_pm_close_near_high,1363.1679983139038,22
pre14_pm_high_breakout_strength,1323.6934242248535,7
vol_above_vwap_pct,1319.3890733718872,14
max_return_20d_tminus1,1287.96581697464,26
pre14_am_turnover,1164.3596391677856,32
max_return_5d_tminus1,1062.1178526878357,36
pre14_orb_range_pct,1009.2088022232056,17
pre14_pm_turnover,971.2899951934814,17
open_pm_to_vwap_am,813.1240005493164,12
vwap_trend,648.6782636642456,18
pre14_vwap_trend,620.5404930114746,7
pre14_pm_high_vs_orb_high,620.1907978057861,15
yf_daily_close_ma_60_mean,580.0377073287964,8
yf_daily_range_ma_5_mean,568.3331227302551,10
pre14_vol_above_vwap_pct,555.8766002655029,11
pre14_close_above_vwap,455.85340118408203,3
pre14_volume_until14,451.9226961135864,11
pre14_volume_14h_ratio_to_avg_hourly,401.9273633956909,10
pre14_pm_high_close_spread,393.78740215301514,11
yf_daily_close_z_60_mean,343.8046979904175,5
pre14_pm_high_vs_close11,328.96266746520996,9
pre14_am_volume_to_dailyvol_10d,315.56491231918335,9
pre14_until14_volume_to_dailyvol_10d,301.0094542503357,12
yf_daily_close_ma_60_sum,280.90629959106445,3
pre14_market_cost_est,279.6586971282959,5
localfund_buy_freq_std30,274.8977060317993,6
pre14_orb_breakdown_strength,259.15329933166504,2
pre14_close_orb_high_hold,247.75060653686523,4
pre14_close_vs_orb_high,247.2190990447998,8
pre14_pm_volume,239.56346035003662,4
yf_daily_range_ma_60_mean,222.18159866333008,4
yf_daily_range_pct_mean,220.60620498657227,4
pre14_orb_body_pct,204.93246269226074,7
yf_daily_close_ma_20_mean,200.48649406433105,3
pre14_until14_turnover_to_dailyturnover_20d,196.14602756500244,8
pre14_until14_volume_to_dailyvol_5d,191.85580253601074,8
pre14_turnover_until14_ratio_20d,186.8708963394165,7
pre14_pm_drive,176.1856985092163,6
pre14_am_turnover_to_dailyturnover_20d,167.51105856895447,9
yf_daily_range_ma_60_sum,167.2909984588623,4
pre14_orb_upper_wick_pct,162.46983098983765,6
pre14_am_volume,161.24149703979492,5
yf_daily_volume_ma_60_sum,158.81020259857178,5
pre14_ret_11_to_14,158.1549015045166,5
pre14_am_volume_to_dailyvol_20d,158.11039924621582,4
pre14_am_open_low_dist,150.55826091766357,7
pre14_until14_turnover_to_dailyturnover_10d,146.0415107011795,7
pre14_volume_until14_ratio_20d,145.74365139007568,6
localfund_netbuy_3d_sum,136.0823211669922,7
pre14_pm_open_low_dist,131.85982990264893,5
yf_daily_range_pct_sum,131.76519680023193,3
yf_daily_close_z_5_sum,127.20309829711914,2
yf_daily_close_z_20_mean,126.66089725494385,6
yf_daily_volume_ma_20_mean,119.3030014038086,1
yf_daily_range_ma_5_sum,113.90890049934387,7
pre14_pm_low_vs_close11,111.21906900405884,5
pre14_pm_open_vs_close11,107.52720069885254,4
tfl_churn_ratio_ma_20_sum,103.58599948883057,4
yf_daily_volume_velocity_20_sum,100.7476978302002,3
pre14_am_turnover_to_dailyturnover_5d,99.94235476851463,5
pre14_pm_am_turnover_ratio,95.07830047607422,3
pre14_pm_open_to_vwap_am,91.4069995880127,4
pre14_am_turnover_to_dailyturnover_10d,90.48603916168213,5
flow_churn_ratio_sum,84.61189937591553,4
cvd_20d,81.94751071929932,4
pre14_ret_14h,81.3395004272461,3
pre14_pm_am_volume_ratio,79.23848056793213,7
tfl_net_buy_z_60_sum,78.54150009155273,3
pre14_until14_volume_to_dailyvol_20d,76.78105735778809,4
pre14_pm_am_volume_rate_ratio,74.9209976196289,1
pre14_until14_turnover_to_dailyturnover_5d,74.893798828125,3
buyer_ratio,72.9411973953247,3
cvd_5d,71.71680068969727,3
days_since_last_ara,65.98927021026611,6
tfl_net_flow_ratio_ma_20_sum,60.76459980010986,3
last_ara_return,60.67751884460449,5
tfl_net_flow_ratio_ma_60_mean,59.7962212562561,3
