model,md,l2,status,best_iter,cv_mean,cv_cum,cv_maxdd,oot_auc,oot_aucpr,oot_mean,oot_cum,oot_maxdd,overfit_auc_gap,50d_cum,50d_maxdd,50d_mean,20d_cum,20d_maxdd,20d_mean
md50_l21.5_gain0_05,50,1.5,PASS,7,0.012384285498206726,1.4990482795607054,-0.16714750121998212,0.5339525065389615,0.39075816277315545,0.006936002113125475,0.8283771160458815,-0.3071677460509593,0.07533451537475855,-0.0801199254466961,-0.3071677460509593,-0.0009990066344961023,0.005231661640605401,-0.1129342108392154,0.0008012215356798802
md50_l23.0_gain0_05,50,3.0,PASS,7,0.012382383892223306,1.513620209018781,-0.17334635490833694,0.5331903863848068,0.39165129861379006,0.007083473783310638,0.8576867634961522,-0.3619349048482994,0.07670863023353625,-0.12278620580177213,-0.36193490484829915,-0.0018653399680571155,-0.02469883951221219,-0.14288912449015256,-0.0006924667528741511
md50_l20.5_gain0_05,50,0.5,PASS,7,0.011223324434261347,1.283861389214291,-0.17234002390108016,0.5313617300362063,0.3894825634700558,0.003942499098117325,0.3673095807256901,-0.28758172932069015,0.07758438202281581,-0.13640549560347304,-0.2875817293206899,-0.0023626432721052274,-0.0022071062449434686,-0.12352754729894821,0.0004565751158267177
md100_l21.5_gain0_05,100,1.5,PASS,7,0.010044669839702484,1.0842998858916557,-0.18446458262427046,0.5307828081468629,0.38964424658780994,0.00773945948949181,0.9749895635582149,-0.29932765262644323,0.07651955171175018,0.0003849913314228903,-0.2993276526264431,0.0007247049882152059,0.07482811449365245,-0.11293421083921518,0.0042033263206706795
md200_l21.5_gain0_05,200,1.5,PASS,5,0.00869403941750459,0.8846665649317831,-0.16086455228001262,0.5164943639101538,0.3697624162014107,0.004978585239887664,0.48880288127717786,-0.3988596717485381,0.08228789112266721,-0.16460410280234128,-0.3988596717485381,-0.002768255986304595,0.016174257688625904,-0.08220702733108143,0.0013611041115342355
md100_l20.5_gain0_05,100,0.5,PASS,7,0.00747105002170316,0.6994952634228204,-0.22314924211127818,0.5300088802920464,0.3867684469048489,0.004420898186278716,0.4314137001394245,-0.2848467720496918,0.07664850872885132,-0.09863962953042349,-0.28409450309694106,-0.001464152631032567,0.04275369442045451,-0.12352754729894821,0.0027062850189936366
md200_l20.5_gain0_05,200,0.5,PASS,5,0.0070177938996206,0.641289343619637,-0.2180200452083617,0.5170768903949854,0.3706532016410111,0.00426061927075307,0.3955891458463794,-0.3536067402892602,0.08154921298609796,-0.17287063130381508,-0.3536067402892604,-0.003058669463155769,-0.02279689507742244,-0.08338491526899228,-0.0005942476943736885
md200_l23.0_gain0_05,200,3.0,PASS,5,0.006925510089691239,0.6491567101695173,-0.18557792241946913,0.5136211037403906,0.3663185749953451,0.003478052112234816,0.31444380567681196,-0.33323018911574853,0.0849497881213942,-0.20500188808735853,-0.3332301891157484,-0.00406327629652082,-0.1212903662968342,-0.10179660032421656,-0.006129609132881071
md100_l23.0_gain0_05,100,3.0,PASS,7,0.006088114936604076,0.5389568347785301,-0.2010115694777761,0.5296133289459752,0.38799683821996805,0.0035980942920809528,0.3334702957390836,-0.38137979853881965,0.07784751148553659,-0.20999878002813654,-0.38137979853881965,-0.004107265326400727,-0.12829188089620092,-0.17325912820878553,-0.006460530996938984
