feature,importance_gain,importance_split
close_to_vwap,16277.298840522766,102
last_hour_above_vwap,12092.576522827148,35
pre14_spread_cost_est,9559.044966518879,20
pre14_tick_pct,8933.302913665771,30
close_range_pct,7927.119138717651,45
close_drive,5296.584589958191,53
pre14_close_vs_orb_low,4968.465611457825,33
pre14_range_pct,4549.061992645264,27
pre14_close_to_vwap,3290.36518573761,39
pre14_close_vs_orb_mid,2835.6439056396484,20
pre14_vwap,2287.4929490089417,11
ihsg_prev_close,2084.5018997192383,24
ihsg_close_ma20_ratio,1995.714473515749,33
usdidr_prev_close,1921.3553030490875,23
vix_prev_close,1729.6846923828125,25
pre14_vwap_trend,1605.0224170684814,14
pre14_turnover_until14,1578.0457739830017,25
pre14_orb_range_pct,1495.4588508605957,15
pre14_pm_close_near_high,1469.0179278850555,25
ihsg_ma_200,1283.3941087722778,21
max_return_20d_tminus1,1222.9443043470383,32
pre14_pm_high_breakout_strength,1210.0014114379883,6
pre14_close_vs_open9,1119.7526054382324,12
ihsg_ma_5,1113.3311042785645,19
pre14_orb_position,1040.7742474079132,13
pre14_pm_turnover,964.9619836807251,15
pre14_market_cost_est,946.1350212097168,4
pre14_orb_body_pct,922.8224687576294,14
nikkei_prev_return,921.7010394334793,16
pre14_pm_high_vs_orb_high,836.7244901657104,16
nasdaq_prev_return,803.4731211662292,23
max_return_5d_tminus1,763.9220743179321,28
ihsg_prev_return,741.6675481796265,14
ihsg_ma_20,686.8093528747559,13
pre14_am_turnover,668.8260889053345,15
vol_above_vwap_pct,648.4267635345459,9
pre14_close_above_vwap,586.5936965942383,4
vwap_trend,564.8110456466675,20
pre14_pm_high_close_spread,529.9178924560547,11
pre14_pm_volume,475.95086097717285,13
pre14_pm_drive,448.0733051300049,7
usdidr_5d_return,438.8391990661621,15
ihsg_ma_100,406.295503616333,8
vix_5d_avg,400.57896043360233,10
open_pm_to_vwap_am,385.3069038391113,8
pre14_close_vs_orb_high,330.11049365997314,8
yf_daily_range_ma_5_mean,311.5121021270752,4
usdidr_prev_return,299.37804079055786,9
pre14_volume_until14,294.8688497543335,8
pre14_orb_breakdown_strength,293.4691963195801,2
pre14_until14_volume_to_dailyvol_10d,290.08030128479004,9
pre14_turnover_until14_ratio_20d,254.3760085105896,12
pre14_vol_above_vwap_pct,251.21679878234863,6
yf_daily_turnover_mean,231.4534969329834,6
pre14_am_volume,219.56261199712753,8
yf_daily_gap_open_prev_close_sum,199.07059288024902,6
yf_daily_range_ma_5_sum,183.88269996643066,6
yf_daily_open_mean,161.8489785194397,5
pre14_am_turnover_to_dailyturnover_20d,136.8154010772705,5
yf_daily_volume_ma_60_sum,128.58299827575684,3
pre14_pm_low_vs_close11,121.26940155029297,4
yf_daily_close_ma_20_mean,120.60559844970703,2
pre14_pm_am_volume_ratio,108.00824022293091,4
ihsg_close_ma5_ratio,101.23380088806152,6
yf_daily_range_ma_60_sum,96.96020126342773,2
pre14_until14_turnover_to_dailyturnover_20d,96.67360305786133,4
pre14_until14_turnover_to_dailyturnover_10d,96.24339962005615,4
pre14_am_turnover_to_dailyturnover_10d,85.44334197044373,4
last_ara_return,83.3927993774414,5
pre14_until14_turnover_to_dailyturnover_5d,81.27887916564941,5
pre14_am_turnover_to_dailyturnover_5d,77.66477990150452,4
yf_daily_volume_ma_20_sum,73.69790077209473,3
pre14_volume_14h_ratio_to_avg_hourly,73.27290153503418,2
pre14_until14_volume_to_dailyvol_5d,72.90461573004723,5
pre14_pm_high_vs_close11,72.82875919342041,3
yf_daily_volume_ma_5_mean,70.34099769592285,3
pre14_pm_am_turnover_ratio,68.31686925888062,4
yf_daily_turnover_sum,68.09720230102539,2
yf_daily_range_pct_mean,66.90750122070312,3
pre14_am_volume_to_dailyvol_20d,66.04361009597778,3
pre14_ret_14h,64.35133838653564,3
yf_daily_close_z_20_sum,64.2953987121582,2
days_since_last_ara,64.04452133178711,4
