fold,train_days,valid_days,valid_rows,auc,aucpr,logloss,brier,precision_at_0.5,recall_at_0.5,f1_at_0.5,positive_rate
1,133,20,20,0.595959595959596,0.633966033966034,1.0690745623574698,0.3947338378717373,0.0,0.0,0.0,0.55
2,153,20,26,0.5249999999999999,0.24887340901272792,0.5407577631430298,0.17778564991372425,0.0,0.0,0.0,0.23076923076923078
