trade_date,day_pnl_net_idr,cum_pnl_net_idr,day_pnl_net_midr,cum_pnl_net_midr
2025-11-13,546383.8858357818,546383.8858357818,0.5463838858357818,0.5463838858357818
2025-11-14,330415.98248494795,876799.8683207298,0.33041598248494797,0.8767998683207299
2025-11-17,1199763.4885439756,2076563.3568647054,1.1997634885439756,2.0765633568647055
2025-11-18,23580.11848081081,2100143.475345516,0.02358011848081081,2.100143475345516
2025-11-19,148172.26890756318,2248315.7442530794,0.1481722689075632,2.2483157442530795
2025-11-20,122080.9507514313,2370396.6950045107,0.1220809507514313,2.370396695004511
2025-11-21,3193.7807267883945,2373590.4757312993,0.0031937807267883945,2.3735904757312993
2025-11-24,436911.3168202464,2810501.7925515454,0.4369113168202464,2.8105017925515456
2025-11-25,750334.4015041956,3560836.194055741,0.7503344015041956,3.5608361940557414
2025-11-26,-163814.7312231511,3397021.46283259,-0.1638147312231511,3.39702146283259
2025-11-27,441430.43066845153,3838451.8935010415,0.44143043066845156,3.8384518935010417
2025-11-28,-172479.21789017678,3665972.6756108645,-0.17247921789017678,3.6659726756108646
2025-12-01,208169.14835201434,3874141.823962879,0.20816914835201433,3.874141823962879
2025-12-02,-127812.50591419218,3746329.3180486867,-0.1278125059141922,3.7463293180486867
2025-12-03,656027.0072467807,4402356.325295467,0.6560270072467806,4.402356325295467
2025-12-04,-246795.50863426662,4155560.8166612005,-0.2467955086342666,4.1555608166612
2025-12-05,188903.02679776365,4344463.8434589645,0.18890302679776366,4.344463843458964
2025-12-08,-74132.21083123997,4270331.632627725,-0.07413221083123997,4.270331632627725
2025-12-09,107408.917184955,4377740.54981268,0.107408917184955,4.37774054981268
2025-12-10,-188354.22690320606,4189386.322909474,-0.18835422690320605,4.189386322909474
2025-12-11,124500.75278572536,4313887.075695199,0.12450075278572535,4.313887075695199
2025-12-12,282688.6600320155,4596575.735727214,0.28268866003201554,4.596575735727214
2025-12-15,-350.89596144667667,4596224.839765768,-0.00035089596144667666,4.5962248397657675
2025-12-16,162887.54689780506,4759112.386663573,0.16288754689780507,4.759112386663573
2025-12-17,65286.74029814716,4824399.12696172,0.06528674029814716,4.82439912696172
2025-12-18,3220394.2685106434,8044793.395472364,3.2203942685106433,8.044793395472363
2025-12-19,629277.3892773894,8674070.784749754,0.6292773892773894,8.674070784749754
2025-12-22,293118.5468223395,8967189.331572093,0.29311854682233945,8.967189331572094
2025-12-23,-79404.64522671184,8887784.686345382,-0.07940464522671184,8.887784686345382
