trade_date,day_pnl_net_idr,cum_pnl_net_idr,day_pnl_net_midr,cum_pnl_net_midr
2026-03-17,-172960.34826045603,-172960.34826045603,-0.17296034826045603,-0.17296034826045603
2026-03-25,271559.8296694833,98599.48140902727,0.2715598296694833,0.09859948140902727
2026-03-26,2246199.427645662,2344798.909054689,2.246199427645662,2.3447989090546892
2026-03-27,-42999.446245884494,2301799.4628088046,-0.0429994462458845,2.3017994628088045
2026-03-30,-146237.1861179928,2155562.276690812,-0.1462371861179928,2.155562276690812
2026-03-31,357027.69384109473,2512589.9705319065,0.35702769384109473,2.5125899705319066
2026-04-01,-21967.946894262685,2490622.023637644,-0.021967946894262683,2.490622023637644
2026-04-02,864886.0200713098,3355508.043708954,0.8648860200713098,3.355508043708954
2026-04-06,930216.001805842,4285724.045514796,0.9302160018058421,4.285724045514796
2026-04-07,221701.35375313967,4507425.399267935,0.22170135375313968,4.507425399267936
2026-04-08,266312.51312023116,4773737.912388166,0.2663125131202312,4.7737379123881665
2026-04-09,414694.9538535299,5188432.866241696,0.4146949538535299,5.188432866241696
2026-04-10,554597.749409091,5743030.615650787,0.554597749409091,5.743030615650787
2026-04-13,46875.23370310358,5789905.849353891,0.04687523370310358,5.789905849353891
2026-04-14,-233430.29313771258,5556475.556216178,-0.23343029313771257,5.556475556216179
2026-04-15,81814.4499178982,5638290.006134077,0.0818144499178982,5.638290006134077
2026-04-16,-500919.38701718766,5137370.619116889,-0.5009193870171876,5.137370619116889
2026-04-17,162010.52678664617,5299381.145903535,0.16201052678664615,5.299381145903535
2026-04-20,372235.5064899654,5671616.6523935,0.37223550648996545,5.6716166523935
2026-04-21,68753.46812976662,5740370.1205232665,0.06875346812976663,5.7403701205232665
