variant,alpha,cap_per_name,days,trading_days,mean_exposure,mean_daily_net_return,volatility_daily,win_rate_days,cumulative_net_return,max_drawdown
baseline_close10_obj,,0.34,100,100,1.0,0.01345891640537501,0.057445047925558684,0.6,2.2647465475046955,-0.48477581055700925
kelly_full,1.0,,100,100,0.9993767409260136,0.013107962991380086,0.05677691130912609,0.6,2.1644483317836736,-0.48171776295066093
kelly_frac25,0.25,,100,100,0.9724380704794787,0.012389791785150584,0.05625752382703748,0.6,1.9559865865445327,-0.48171776295066093
kelly_frac25_cap34,0.25,0.34,100,100,0.9710686865744087,0.012172577797248825,0.05591232909083124,0.59,1.897708600816622,-0.48123450581952676
