date,positions,gross_return,net_return,exposure,g_used,l_used
2025-11-13,3,0.0581046146998228,0.05411877084854593,0.996460962819218,0.03,0.03
2025-11-14,3,0.03756023482189812,0.03356023482189811,1.0,0.03,0.03
2025-11-17,3,0.07460774900594379,0.07112908142034347,0.8696668964000819,0.03,0.03
2025-11-18,3,0.0010058094438514411,-0.00015950731459216284,0.29132918961090093,0.03,0.03
2025-11-19,3,0.018264254740932392,0.014689408150550587,0.8937116475954487,0.03,0.03
2025-11-20,3,0.016537172240310274,0.012737229910580001,0.9499855824325669,0.03,0.03
2025-11-21,3,0.004407267769516861,0.00040726776951685996,1.0,0.03,0.03
2025-11-24,3,0.047028475350251606,0.04302847535025159,1.0,0.03,0.03
2025-11-25,2,0.03538830762651205,0.033646497654367793,0.43545249303606465,0.03,0.03
2025-11-26,3,-0.007180737918055476,-0.008978642523548904,0.44947615137335695,0.03,0.03
2025-11-27,3,0.012121303382141776,0.011183629289540427,0.23441852315033762,0.03,0.03
2025-11-28,3,-0.0140625609803692,-0.0180625609803692,1.0,0.06272105112527947,0.030486617195966174
2025-12-01,3,0.024500300050777826,0.02050030005077783,1.0,0.06078631943384218,0.031439673093582636
2025-12-02,3,-0.007466864752676369,-0.01146686475267637,1.0,0.05613793258195014,0.031439673093582636
2025-12-03,3,0.06799316912545691,0.06399316912545691,1.0,0.05606809904870999,0.03328064989753477
2025-12-04,3,-0.02309178743961353,-0.02709178743961353,1.0,0.059388493602469776,0.03215848208970465
2025-12-05,3,0.025608894029946667,0.02160889402994667,1.0,0.05767251919386857,0.03932714838766953
2025-12-08,3,-0.0034097509825665173,-0.007409750982566517,1.0,0.059148874919329124,0.04285132173181222
2025-12-09,3,0.015275549686196075,0.011275549686196071,1.0,0.059148874919329124,0.03753508611942536
2025-12-10,3,-0.01480263157894737,-0.01880263157894737,1.0,0.05697957074119726,0.0361546274730458
2025-12-11,3,0.01549501371397054,0.011495013713970539,1.0,0.05697957074119726,0.0339856279862835
2025-12-12,3,0.03293360097902216,0.02893360097902216,1.0,0.055811569772971484,0.03407652544747732
2025-12-15,3,0.003929765886287626,-7.023411371237444e-05,1.0,0.05540153339516429,0.03310554054082035
2025-12-16,3,0.021150417657459914,0.01715041765745991,1.0,0.0541568796756698,0.03094893360778039
2025-12-17,3,0.01071438630373992,0.006714386303739916,1.0,0.05306592127429283,0.030262496363413022
2025-12-18,3,0.32001592942417656,0.3160159294241765,1.0,0.052153112442921645,0.030781249653200397
2025-12-19,3,0.06447163947163949,0.06047163947163947,1.0,0.06899541990981024,0.030781249653200397
2025-12-22,3,0.03419118048056892,0.030191180480568916,1.0,0.07271943723977778,0.03093033821654204
2025-12-23,3,-0.004890707430814382,-0.008890707430814382,1.0,0.07230093297423039,0.031021543717873464
2025-12-24,3,0.06130505505505506,0.05730505505505505,1.0,0.0722632708627603,0.03202180657918639
2025-12-29,3,0.03535524920466596,0.03135524920466596,1.0,0.07143225887344334,0.03202180657918639
2025-12-30,3,0.02333043153836588,0.019330431538365875,1.0,0.07102047959312002,0.0318472877973974
2026-01-02,3,0.015273704789833822,0.011273704789833826,1.0,0.06964031296258309,0.031094658397467743
2026-01-05,3,0.06575764808847517,0.06175764808847516,1.0,0.0705108161327088,0.03173541657273859
2026-01-06,3,-0.00489639127847211,-0.00889639127847211,1.0,0.0700872757434717,0.03173541657273859
2026-01-07,3,0.020856861101295848,0.016856861101295847,1.0,0.06906844581260722,0.03098222951881051
2026-01-08,3,0.007084462061783973,0.003084462061783972,1.0,0.06669519196209305,0.03098222951881051
2026-01-09,3,0.015970906203187325,0.011970906203187325,1.0,0.06505257168013079,0.030540719734205517
2026-01-12,3,0.06813268341155222,0.06413268341155223,1.0,0.06280968440645712,0.030540719734205517
2026-01-13,3,0.059264304091890305,0.05526430409189031,1.0,0.06286331950125829,0.030540719734205517
2026-01-14,3,0.0472712392373667,0.0432712392373667,1.0,0.06418537910235579,0.031235360122020654
2026-01-15,3,-0.04837881062667991,-0.05237881062667993,1.0,0.06339117125938154,0.031235360122020654
2026-01-19,3,-0.006396447154740995,-0.010396447154740994,1.0,0.06227358070376593,0.03492078237820063
2026-01-20,3,0.014535545098194949,0.010535545098194949,1.0,0.06163592745111042,0.034297603915023143
2026-01-21,3,-0.04241158451684768,-0.04641158451684768,1.0,0.05983238454453693,0.034297603915023143
2026-01-22,3,0.025260670760871646,0.021260670760871646,1.0,0.059219346481357564,0.035917409265681634
2026-01-23,3,0.01302053990397022,0.009020539903970212,1.0,0.0598088231516166,0.035415148985279934
2026-01-26,3,-0.020283587935761852,-0.024283587935761852,1.0,0.06090619287137738,0.036539869000820235
2026-01-27,3,-0.06002833720225026,-0.06402833720225026,1.0,0.06035668508630572,0.03675785096018403
2026-01-28,3,0.008408217655994437,0.004408217655994439,1.0,0.06035668508630572,0.038193139709766476
2026-01-29,3,0.031373761522327105,0.027373761522327095,1.0,0.05954265264126456,0.038110702209699504
2026-01-30,3,-0.009170227543766096,-0.013170227543766098,1.0,0.059242507311532924,0.03761815649513689
2026-02-03,3,0.04750272245250082,0.04350272245250082,1.0,0.05807327318186196,0.03777316146914498
2026-02-04,3,0.0926949823165773,0.0886949823165773,1.0,0.058410371517496,0.03745453451985939
2026-02-05,3,-0.0182955932955933,-0.0222955932955933,1.0,0.05931890984146843,0.03745453451985939
2026-02-06,3,-0.021198294882505415,-0.025198294882505412,1.0,0.058787191769923045,0.03741632968592996
2026-02-09,3,0.018993927534206152,0.01499392753420615,1.0,0.05829488371433253,0.03905766107304883
2026-02-10,3,0.08043172799700299,0.076431727997003,1.0,0.05815818326713039,0.039337611485306886
2026-02-11,3,0.0011269299546811506,-0.0028730700453188512,1.0,0.058665781731849075,0.039337611485306886
2026-02-12,3,0.02772081719450141,0.023720817194501406,1.0,0.05793279573593936,0.03942828879688689
2026-02-13,3,-0.009852633956298346,-0.01385263395629835,1.0,0.057569374844078876,0.03889950836708261
2026-02-18,3,-0.01592483572681593,-0.01992483572681593,1.0,0.05707422973508783,0.03839772376799303
2026-02-19,3,0.002806286449005832,-0.0011937135509941682,1.0,0.05646620393812588,0.03933489914273599
2026-02-20,3,0.08380349036379042,0.07980349036379042,1.0,0.05561664159256287,0.03902193935337859
2026-02-23,3,-0.10074074074074074,-0.10474074074074076,1.0,0.056757821225437176,0.03858584559021774
