policy,days,trading_days,positions,mean_daily_net_return,mean_daily_gross_return,net_expectancy_per_trade,win_rate_days,cumulative_net_return,max_drawdown,volatility_daily,cumulative_net_return_50d,positions_50d,trading_days_50d,cumulative_net_return_20d,positions_20d,trading_days_20d
aggressive,100,51,65,0.012878968525600214,0.01553460760381338,0.07925519092677057,0.36,2.4855997853884033,-0.032319444444444345,0.025399218289763756,0.5895996315239642,27,22,0.18660316948999323,14,12
clean,100,42,48,0.01206581668820562,0.014060368334171387,0.1005484724017135,0.31,2.226468535989856,-0.032319444444444456,0.024099202518881258,0.6612833232611424,20,18,0.22986499363186574,8,8
single_release_only,100,39,43,0.011111530523774678,0.012889348700015422,0.10336307463976445,0.29,1.9373913686546587,-0.035722774244832944,0.023877691491516372,0.6109191295174752,18,17,0.16190648293991394,7,7
all,100,96,264,0.010001181980501189,0.021386063758663407,0.015153306031062406,0.51,1.4861979228596556,-0.29040729613254257,0.0415913094024295,0.24268712929707537,127,47,0.09881967480618115,47,18
