feature,importance_gain,importance_split
close_ret_last1h,36976.482494831085,67
close_range_pct,9564.26845908165,35
close_vs_open_day,7739.566816329956,37
last_hour_above_vwap,3828.0896553993225,26
overnight_positive_rate20,3295.048572540283,16
vol_above_vwap_pct,3134.5874071121216,29
overnight_positive_rate60,2884.3193469047546,21
close_to_vwap,1971.2774748802185,38
ihsg_close_ma20_ratio,1809.8965163230896,28
yf_daily_ret_cc_mean,1782.8742876052856,21
ihsg_ma_5,1708.2093152999878,30
open_pm_to_vwap_am,1545.6025943756104,22
usdidr_prev_close,1481.5155243873596,25
vwap_trend,1341.985818862915,19
vix_prev_close,1245.9056940078735,22
gap_up2_followthrough_freq_20d,1144.8396470546722,10
ihsg_ma_200,1131.9062004089355,24
close_drive,1091.2503299713135,19
yf_daily_ret_cc_sum,916.1475210189819,10
nikkei_prev_return,886.0656890869141,20
nasdaq_prev_return,826.2697238922119,21
ihsg_prev_return,767.736403465271,19
ihsg_prev_close,661.7881908416748,16
yf_daily_ret_oc_sum,577.8742170333862,9
vix_5d_avg,551.7481095790863,19
usdidr_prev_return,481.50289821624756,14
ihsg_ma_20,466.86120414733887,12
overnight_positive_rate5,436.5750026702881,9
ihsg_close_ma5_ratio,420.0010871887207,15
ctx_broker_market_share_sum,390.59990406036377,5
yf_daily_ret_oc_mean,382.6005001068115,6
usdidr_5d_return,376.7008991241455,10
yf_daily_high_mean,369.6277275085449,8
yf_daily_gap_open_prev_close_mean,295.94629669189453,5
gap_down2_freq_5d,292.04968547821045,5
gap_up2_freq_5d,218.76749801635742,4
yf_daily_close_ma_20_mean,201.48177433013916,7
ihsg_ma_100,200.40968769788742,8
gap_up2_freq_20d,198.53330421447754,4
overnight_ret_ma60,194.24459218978882,11
ctx_broker_market_share_mean,181.2584991455078,5
yf_daily_range_pct_sum,169.43079948425293,2
gapdown_severe_freq_20d,167.66583442687988,4
yf_daily_volume_velocity_5_mean,155.6032009124756,5
yf_daily_range_ma_5_sum,150.14999389648438,1
ctx_ticker_market_share_sum,146.23259830474854,3
gap_down2_freq_20d,142.09798789024353,5
overnight_worst_5d,138.99925923347473,7
yf_daily_open_mean,135.16279983520508,2
yf_daily_close_z_60_sum,134.26460075378418,7
gap_up2_freq_60d,132.14959812164307,3
overnight_ret_ma5,128.82282477617264,10
yf_daily_volume_velocity_5_sum,120.58579921722412,5
overnight_worst_20d,115.11570072174072,6
gap_up2_down2_edge_60d,114.43130993843079,7
yf_daily_range_pct_mean,113.76510047912598,4
overnight_ret_ma20,113.35386800765991,6
yf_daily_turnover_mean,111.31240177154541,5
yf_daily_volume_velocity_20_sum,105.6719970703125,1
yf_daily_volume_ma_5_sum,105.15649795532227,2
overnight_p10_20d,104.66619873046875,6
flow_sell_freq_mean,101.32909774780273,2
yf_daily_close_z_5_mean,98.31349849700928,5
xc_flow_total_net_buy,96.9817008972168,3
yf_daily_range_ma_5_mean,93.37150287628174,4
flow_buy_freq_mean,87.36669921875,3
yf_daily_range_ma_20_sum,85.97605323791504,3
yf_daily_close_mean,85.96570014953613,3
yf_daily_close_ma_5_mean,84.23746967315674,4
flow_total_net_buy_sum,75.26465058326721,6
yf_daily_close_ma_60_mean,74.00320053100586,3
yf_daily_volume_ma_60_mean,72.92000007629395,3
gap_up2_down2_edge_20d,71.90722179412842,4
yf_daily_volume_ma_60_sum,71.74013996124268,3
overnight_worst_60d,71.71255111694336,4
gapdown_freq_20d,69.15467977523804,5
seller_broker_count,68.49669647216797,1
yf_daily_low_mean,65.94859981536865,3
tfl_churn_ratio_ma_5_mean,64.14252090454102,4
yf_daily_volume_velocity_60_sum,62.01331901550293,4
gap_up2_followthrough_freq_60d,58.59089946746826,3
overnight_p10_5d,55.201181530952454,5
bandar_abs_netbuy_sum,55.169837951660156,4
yf_daily_range_z_5_mean,53.24489974975586,2
yf_daily_volume_ma_20_mean,52.01430130004883,2
yf_daily_close_z_20_mean,48.42040157318115,3
tfl_churn_ratio_ma_60_mean,43.599300384521484,2
