feature,importance_gain,importance_split
pre14_tick_pct,4788.486859321594,13
pre14_range_pct,3849.1767082214355,21
vix_prev_close,1365.7318983078003,13
pre14_spread_cost_est,1294.5370178222656,2
usdidr_prev_close,1266.2321033477783,7
pre14_market_cost_est,955.8099975585938,1
ihsg_prev_close,746.6199951171875,3
pre14_close_vs_open9,651.6783866882324,7
ihsg_close_ma20_ratio,616.7929916381836,4
pre14_pm_close_near_high,521.2953033447266,5
ihsg_prev_return,444.0927047729492,4
overnight_positive_rate5,398.7133979797363,5
ihsg_ma_200,370.7580986022949,6
nasdaq_prev_return,344.55319690704346,6
usdidr_prev_return,295.8523941040039,2
pre14_vwap,280.03710651397705,5
gap_up2_freq_20d,273.215425491333,6
ihsg_ma_100,244.93660354614258,4
overnight_positive_rate60,242.5736608505249,7
ihsg_ma_20,240.4554042816162,2
ihsg_ma_5,221.31920623779297,3
pre14_pm_high_close_spread,181.06019973754883,3
yf_daily_ret_cc_sum,178.36199951171875,1
nikkei_prev_return,176.11693954467773,5
pre14_vol_above_vwap_pct,173.77899932861328,4
pre14_close_to_vwap,172.21599578857422,5
pre14_turnover_until14,153.9235291481018,5
ihsg_close_ma5_ratio,153.15199279785156,1
ctx_broker_market_share_mean,146.34789848327637,4
pre14_am_volume_to_dailyvol_10d,131.45790100097656,3
gap_up2_followthrough_freq_20d,116.8247013092041,3
yf_daily_close_z_20_sum,100.57540130615234,2
pre14_pm_am_volume_ratio,100.27175188064575,4
yf_daily_ret_cc_mean,88.35460186004639,3
overnight_p10_5d,84.94919967651367,2
gapdown_freq_60d,80.04488039016724,4
yf_daily_gap_open_prev_close_mean,75.55979919433594,1
usdidr_5d_return,74.75849914550781,1
gap_up2_freq_60d,70.90810203552246,3
pre14_pm_high_vs_close11,70.31290054321289,2
overnight_p10_20d,68.54374885559082,4
yf_daily_volume_sum,66.78900146484375,1
pre14_am_turnover_to_dailyturnover_10d,65.86310005187988,2
pre14_volume_14h_ratio_to_avg_hourly,59.53064012527466,2
yf_daily_close_z_20_mean,59.10259819030762,3
pre14_volume_until14_ratio_20d,54.033199310302734,1
pre14_until14_volume_to_dailyvol_20d,52.68190002441406,1
yf_daily_gap_open_prev_close_sum,50.41460037231445,1
vix_5d_avg,47.47119998931885,3
flow_buy_freq_sum,46.714500427246094,1
yf_daily_range_ma_5_mean,46.48190116882324,2
bandar_netbuy_mean,43.76390075683594,1
gapdown_freq_20d,43.27910041809082,2
yf_daily_high_mean,41.80139923095703,1
overnight_ret_ma20,41.36759948730469,1
gap_down2_freq_20d,39.05190086364746,2
localfund_buy_freq_std30,38.628700256347656,1
gap_down2_freq_60d,38.015499114990234,2
yf_daily_close_ma_20_sum,37.91749954223633,1
yp_flow_churn_ratio,37.047698974609375,1
localfund_netbuy_std20,36.796199798583984,1
yf_daily_close_ma_60_mean,34.525699615478516,1
tfl_net_buy_velocity_20_mean,34.18969917297363,2
pre14_pm_open_to_vwap_am,34.00085926055908,2
pre14_until14_volume_to_dailyvol_5d,31.46430015563965,1
yf_daily_close_z_60_mean,31.05940055847168,1
yf_daily_range_ma_20_mean,30.53339958190918,1
flow_total_net_buy_sum,30.17513084411621,3
overnight_ret_ma5,29.12049961090088,2
yf_daily_close_mean,28.018299102783203,1
pre14_vwap_trend,27.008800506591797,1
pre14_am_volume,26.142499923706055,1
bandar_netbuy_sum,25.54129981994629,2
yf_daily_close_ma_20_mean,25.423500061035156,1
pre14_close_above_vwap,25.031999588012695,1
pre14_pm_low_vs_close11,24.88089942932129,1
flow_net_buy_per_trade_sum,24.059999465942383,1
localfund_consensus_strength,23.506200790405273,1
yf_daily_close_z_5_sum,23.12779998779297,1
yf_daily_volume_velocity_60_mean,22.102689743041992,2
tfl_net_buy_ma_60_mean,20.466699600219727,1
pre14_pm_am_turnover_rate_ratio,19.25860023498535,1
pre14_turnover_until14_ratio_20d,18.580299377441406,1
pre14_until14_volume_to_dailyvol_10d,18.500999450683594,1
xl_sell_freq_ma5,17.0851993560791,1
localfund_netbuy_ma20,16.75149917602539,1
pre14_am_turnover,16.208200454711914,1
overnight_p10_60d,15.366700172424316,1
pre14_volume_until14,15.219400405883789,1
pre14_am_turnover_to_dailyturnover_20d,14.538599967956543,1
gapdown_freq_5d,14.330400466918945,1
yf_daily_low_sum,14.076700210571289,1
yf_daily_turnover_sum,14.033699989318848,1
pre14_ret_11_to_14,13.400199890136719,1
pre14_pm_open_low_dist,13.203300476074219,1
overnight_ret_ma60,13.057700157165527,1
flow_gross_turnover_sum,11.85669994354248,1
cvd_20d_norm,11.343199729919434,1
flow_total_trades_mean,10.242199897766113,1
gap_up2_freq_5d,10.080900192260742,1
pre14_until14_turnover_to_dailyturnover_20d,8.506139755249023,1
flow_churn_ratio_mean,8.073380470275879,1
flow_total_net_buy_mean,7.422540187835693,1
overnight_worst_5d,6.745349884033203,1
gap_up2_down2_edge_60d,6.306950092315674,1
yf_daily_range_z_5_mean,5.890739917755127,2
gap_up2_down2_edge_20d,5.143539905548096,1
pre14_am_volume_to_dailyvol_20d,2.6021199226379395,1
pre14_until14_turnover_to_dailyturnover_5d,0.07905980199575424,1
flow_buy_freq_mean,0.054829299449920654,1
flow_sell_freq_mean,0.0,0
flow_abs_net_buy_sum,0.0,0
flow_abs_net_buy_mean,0.0,0
flow_net_flow_ratio_sum,0.0,0
ctx_broker_ticker_specificity_sum,0.0,0
ctx_broker_ticker_specificity_mean,0.0,0
ctx_broker_market_share_sum,0.0,0
ctx_ticker_market_share_sum,0.0,0
ctx_ticker_market_share_mean,0.0,0
ctx_broker_net_buy_rank_sum,0.0,0
ctx_broker_net_buy_rank_mean,0.0,0
tfl_net_buy_ma_5_sum,0.0,0
tfl_net_buy_ma_5_mean,0.0,0
tfl_net_buy_z_5_sum,0.0,0
tfl_net_buy_z_5_mean,0.0,0
tfl_net_buy_velocity_5_sum,0.0,0
flow_net_flow_ratio_mean,0.0,0
flow_total_trades_sum,0.0,0
flow_gross_turnover_mean,0.0,0
flow_sell_freq_sum,0.0,0
pre14_pm_am_volume_rate_ratio,0.0,0
pre14_pm_am_turnover_ratio,0.0,0
pre14_am_volume_to_dailyvol_5d,0.0,0
pre14_volume_14h,0.0,0
pre14_am_turnover_to_dailyturnover_5d,0.0,0
pre14_until14_turnover_to_dailyturnover_10d,0.0,0
pre14_tick_size,0.0,0
pre14_am_open_low_dist,0.0,0
pre14_am_open_is_low,0.0,0
pre14_pm_open_is_low,0.0,0
xl_buy_freq_ma5,0.0,0
xc_flow_net_flow_ratio,0.0,0
xc_flow_churn_ratio,0.0,0
xc_present,0.0,0
sq_flow_total_net_buy,0.0,0
sq_tfl_net_buy_z_20,0.0,0
sq_tfl_net_buy_velocity_20,0.0,0
sq_flow_net_flow_ratio,0.0,0
sq_flow_churn_ratio,0.0,0
sq_present,0.0,0
yp_flow_total_net_buy,0.0,0
yp_tfl_net_buy_z_20,0.0,0
yp_tfl_net_buy_velocity_20,0.0,0
yp_flow_net_flow_ratio,0.0,0
yp_present,0.0,0
pd_flow_total_net_buy,0.0,0
pd_tfl_net_buy_z_20,0.0,0
pd_tfl_net_buy_velocity_20,0.0,0
tfl_net_buy_velocity_5_mean,0.0,0
pre14_pm_turnover,0.0,0
flow_net_buy_per_trade_mean,0.0,0
flow_churn_ratio_sum,0.0,0
total_retail_net_buy,0.0,0
pd_present,0.0,0
pd_flow_churn_ratio,0.0,0
pd_flow_net_flow_ratio,0.0,0
localfund_buyer_broker_count,0.0,0
localfund_netbuy_sum,0.0,0
localfund_abs_netbuy_sum,0.0,0
localfund_netbuy_mean,0.0,0
localfund_concentration_hhi,0.0,0
localfund_top1_share,0.0,0
localfund_top3_share,0.0,0
bandar_abs_netbuy_sum,0.0,0
bandar_broker_count,0.0,0
localfund_seller_broker_count,0.0,0
localfund_buy_freq_sum,0.0,0
localfund_broker_count,0.0,0
bandar_buy_freq_mean,0.0,0
bandar_concentration_hhi,0.0,0
bandar_top1_share,0.0,0
bandar_top3_share,0.0,0
localfund_participation_ratio,0.0,0
localfund_buyer_ratio,0.0,0
localfund_streak_buy_days,0.0,0
localfund_netbuy_z20,0.0,0
localfund_netbuy_3d_sum,0.0,0
localfund_netbuy_7d_sum,0.0,0
localfund_buy_freq_ma30,0.0,0
localfund_buy_freq_z30,0.0,0
localfund_buy_freq_ratio_to_ma30,0.0,0
bandar_buyer_broker_count,0.0,0
bandar_seller_broker_count,0.0,0
localfund_buy_freq_mean,0.0,0
cvd_10d,0.0,0
cvd_10d_norm,0.0,0
yf_daily_volume_velocity_20_sum,0.0,0
cvd_20d,0.0,0
yf_daily_volume_ma_60_sum,0.0,0
