trade_date,day_pnl_net_idr,cum_pnl_net_idr,cum_pnl_net_midr,day_pnl_net_midr
2026-03-17,-117765.363128491,-117765.363128491,-0.117765363128491,-0.117765363128491
2026-03-25,34621.848739494,-83143.51438899699,-0.08314351438899699,0.034621848739494004
2026-03-26,997297.162767545,914153.648378548,0.914153648378548,0.997297162767545
2026-03-27,-98090.869375273,816062.779003275,0.816062779003275,-0.098090869375273
2026-03-30,-115674.81884058,700387.960162695,0.700387960162695,-0.11567481884058001
2026-03-31,294255.43190249,994643.392065185,0.994643392065185,0.29425543190249
2026-04-01,-417700.331910857,576943.060154328,0.5769430601543281,-0.417700331910857
2026-04-02,257904.640116916,834847.700271244,0.834847700271244,0.257904640116916
2026-04-06,624383.3943833939,1459231.0946546379,1.4592310946546379,0.624383394383394
2026-04-07,89052.53283302,1548283.6274876578,1.548283627487658,0.08905253283302
2026-04-08,149650.01335826798,1697933.6408459258,1.6979336408459258,0.149650013358268
2026-04-09,285285.868392664,1983219.5092385898,1.9832195092385898,0.285285868392664
2026-04-10,157890.378119211,2141109.8873578007,2.1411098873578007,0.157890378119211
2026-04-13,43878.848311104,2184988.7356689046,2.1849887356689046,0.043878848311103995
2026-04-14,-162228.293867638,2022760.4418012665,2.0227604418012666,-0.162228293867638
2026-04-15,102023.809523809,2124784.2513250755,2.1247842513250754,0.102023809523809
2026-04-16,-312169.40316556,1812614.8481595155,1.8126148481595155,-0.31216940316555997
2026-04-17,141465.40027137,1954080.2484308856,1.9540802484308857,0.14146540027137
2026-04-20,-50762.219437165,1903318.0289937207,1.9033180289937206,-0.050762219437164996
2026-04-21,-17890.527551544,1885427.5014421768,1.8854275014421769,-0.017890527551544
