horizon_days,n_paths,block_size_days,mean_terminal_return,median_terminal_return,p05_terminal_return,p25_terminal_return,p75_terminal_return,p95_terminal_return,prob_terminal_negative,mean_max_drawdown,median_max_drawdown,p95_worst_max_drawdown,prob_maxdd_le_minus_20pct,prob_maxdd_le_minus_25pct,prob_maxdd_le_minus_30pct
100,10000,5,1.3545396833371752,1.1327153319517258,0.11564938748361155,0.6290031959911948,1.8230324008514796,3.297127113498153,0.027,-0.18890733352164146,-0.18609883434769803,-0.33755532005264444,0.3955,0.1919,0.0946
252,10000,5,7.650649111482891,5.92158371997543,1.4624935571875748,3.5032683199262804,9.80898295657915,19.459078146717317,0.0018,-0.25286500574341847,-0.23811468843377948,-0.4019986328543279,0.7297,0.4359,0.245
