model,date,rolling_return_20d,rolling_vol_20d,rolling_sharpe_ann_20d,rolling_maxdd_20d,rolling_winrate_20d
v10_close10_obj_k2_w25_guard,2025-11-13,,,,,
v10_close10_obj_k2_w25_guard,2025-11-14,,,,,
v10_close10_obj_k2_w25_guard,2025-11-17,,,,,
v10_close10_obj_k2_w25_guard,2025-11-18,,,,,
v10_close10_obj_k2_w25_guard,2025-11-19,,,,,
v10_close10_obj_k2_w25_guard,2025-11-20,,,,,
v10_close10_obj_k2_w25_guard,2025-11-21,,,,,
v10_close10_obj_k2_w25_guard,2025-11-24,,,,,
v10_close10_obj_k2_w25_guard,2025-11-25,,,,,
v10_close10_obj_k2_w25_guard,2025-11-26,,,,,
v10_close10_obj_k2_w25_guard,2025-11-27,,,,,
v10_close10_obj_k2_w25_guard,2025-11-28,,,,,
v10_close10_obj_k2_w25_guard,2025-12-01,,,,,
v10_close10_obj_k2_w25_guard,2025-12-02,,,,,
v10_close10_obj_k2_w25_guard,2025-12-03,,,,,
v10_close10_obj_k2_w25_guard,2025-12-04,,,,,
v10_close10_obj_k2_w25_guard,2025-12-05,,,,,
v10_close10_obj_k2_w25_guard,2025-12-08,,,,,
v10_close10_obj_k2_w25_guard,2025-12-09,,,,,
v10_close10_obj_k2_w25_guard,2025-12-10,0.2399525640160607,0.019598346089858734,8.910550143178416,-0.03735169618967571,0.65
v10_close10_obj_k2_w25_guard,2025-12-11,0.1928943893701347,0.01903566559761651,7.535786074065851,-0.04129067965983002,0.6
v10_close10_obj_k2_w25_guard,2025-12-12,0.18804582211156173,0.01904310431525765,7.36168602697595,-0.04129067965983013,0.6
v10_close10_obj_k2_w25_guard,2025-12-15,0.18848695986497987,0.01903469614772265,7.380421762291944,-0.04129067965983024,0.6
v10_close10_obj_k2_w25_guard,2025-12-16,0.20297420801764132,0.018938063573925138,7.928994486211702,-0.04129067965983002,0.6
v10_close10_obj_k2_w25_guard,2025-12-17,0.15844112544151168,0.017700834543397034,6.757625312476827,-0.04129067965983024,0.6
v10_close10_obj_k2_w25_guard,2025-12-18,0.4062859428551424,0.05235467253669465,5.5800818787539175,-0.04129067965983024,0.6
v10_close10_obj_k2_w25_guard,2025-12-19,0.4933062343772099,0.05294624882065858,6.444556842631905,-0.04129067965983013,0.65
v10_close10_obj_k2_w25_guard,2025-12-22,0.4963454936338738,0.05296312541273128,6.47388997141791,-0.04129067965983013,0.65
v10_close10_obj_k2_w25_guard,2025-12-23,0.45407903207095934,0.05293054894595789,6.0387623072780725,-0.04129067965983013,0.65
v10_close10_obj_k2_w25_guard,2025-12-24,0.5308227555873319,0.052525543353443865,6.872651710293567,-0.041290679659830354,0.7
v10_close10_obj_k2_w25_guard,2025-12-29,0.5125887646170757,0.05254653076902392,6.685173008328959,-0.04129067965983024,0.7
v10_close10_obj_k2_w25_guard,2025-12-30,0.5342635727703324,0.05235284184375974,6.927408552874187,-0.04129067965983013,0.7
v10_close10_obj_k2_w25_guard,2026-01-02,0.5570001580897987,0.05233149591026369,7.158197348121595,-0.0412906796598298,0.7
v10_close10_obj_k2_w25_guard,2026-01-05,0.629566899845579,0.05199637300893116,7.911548759834947,-0.04129067965983024,0.75
v10_close10_obj_k2_w25_guard,2026-01-06,0.5495966540325632,0.05191349789140719,7.134762514607744,-0.04129067965983024,0.75
v10_close10_obj_k2_w25_guard,2026-01-07,0.5333380256841531,0.052036630456326435,6.955216658372521,-0.018542512121226484,0.75
v10_close10_obj_k2_w25_guard,2026-01-08,0.5652720365384694,0.05132187542415474,7.366710338980715,-0.014849921617639317,0.75
v10_close10_obj_k2_w25_guard,2026-01-09,0.5749357362618133,0.05117399486614705,7.483397325253025,-0.01386416890069353,0.8
v10_close10_obj_k2_w25_guard,2026-01-12,0.6008619082258919,0.050895065059368194,7.780879551187131,-0.004091819883298431,0.85
v10_close10_obj_k2_w25_guard,2026-01-13,0.7081531702765551,0.05068364329767515,8.852611453410173,-0.0028341944372686223,0.9
v10_close10_obj_k2_w25_guard,2026-01-14,0.7583512676760107,0.05014799425628866,9.410399189141494,-0.0028341944372686223,0.95
v10_close10_obj_k2_w25_guard,2026-01-15,0.6748940855858503,0.05230260445346246,8.297991772959652,-0.041566383681169716,0.9
v10_close10_obj_k2_w25_guard,2026-01-19,0.6569838292105641,0.05262901896870942,8.085188847334042,-0.05143234488801551,0.85
v10_close10_obj_k2_w25_guard,2026-01-20,0.646372422050002,0.05273757370827005,7.970982676230505,-0.051432344888015624,0.85
v10_close10_obj_k2_w25_guard,2026-01-21,0.6107051730171569,0.05346749408752986,7.5402279716555105,-0.06567288340925581,0.8
v10_close10_obj_k2_w25_guard,2026-01-22,0.3384117498875223,0.0242508559170084,9.800326032410776,-0.06567288340925592,0.8
v10_close10_obj_k2_w25_guard,2026-01-23,0.296000648170369,0.022073954480117865,9.557977925317525,-0.06567288340925581,0.8
v10_close10_obj_k2_w25_guard,2026-01-26,0.2407065463267153,0.022376710104693897,7.868171202065911,-0.06567288340925581,0.75
v10_close10_obj_k2_w25_guard,2026-01-27,0.20618808677713685,0.023417188168767263,6.568575412810647,-0.0656728834092557,0.7
v10_close10_obj_k2_w25_guard,2026-01-28,0.15713392067702503,0.022541197748706294,5.335538485008941,-0.06567288340925592,0.65
v10_close10_obj_k2_w25_guard,2026-01-29,0.16657391661699172,0.022739908066403167,5.577801997644506,-0.06567288340925603,0.65
v10_close10_obj_k2_w25_guard,2026-01-30,0.136976553905497,0.023006322236800526,4.6243314491796434,-0.06567288340925592,0.6
v10_close10_obj_k2_w25_guard,2026-02-03,0.1457710923828901,0.023457465326502357,4.804778394392792,-0.06567288340925581,0.6
v10_close10_obj_k2_w25_guard,2026-02-04,0.13863650984370857,0.023036718751244644,4.669325685765607,-0.06567288340925603,0.6
v10_close10_obj_k2_w25_guard,2026-02-05,0.1331357452423989,0.023126724932693417,4.485270831539469,-0.06567288340925581,0.55
