date,positions,gross_return,net_return,exposure
2025-11-13,2,0.06127530967926183,0.058303115560902626,0.7430485295897998
2025-11-14,2,0.0226531190955506,0.019070883418889847,0.8955589191651878
2025-11-17,2,0.0031381332432968696,0.00011588155722547016,0.7555629215178499
2025-11-18,2,0.0007088275242686414,-0.00035005091419648715,0.2647196096162821
2025-11-19,2,0.05006802856102271,0.04757451028052398,0.623379570124681
2025-11-20,2,0.022105967073231772,0.019223112777975192,0.7207135738141448
2025-11-21,2,0.004315032259795655,0.0003150322597956553,1.0
2025-11-24,2,0.062248833807884894,0.05840134231458336,0.9618728733253805
2025-11-25,2,0.03538830762651205,0.033646497654367793,0.43545249303606465
2025-11-26,2,-0.0080060055043727,-0.009325254909802138,0.3298123513573594
2025-11-27,2,0.010548671239368501,0.00982235890675588,0.1815780831531556
2025-11-28,2,0.000926944924392146,-0.0008585675849870724,0.44637812734480464
2025-12-01,2,0.009852576848346936,0.008656262662833217,0.2990785463784297
2025-12-02,2,-0.002651462078307607,-0.0031966275195116213,0.13629136030100336
2025-12-03,2,0.04783258677980479,0.04637362957899419,0.3647393002026462
2025-12-04,2,0.03681014144646284,0.03281014144646284,1.0
2025-12-05,2,-0.04215829273535051,-0.04615829273535051,1.0
2025-12-08,2,-0.003534833539439245,-0.0075348335394392445,1.0
2025-12-09,2,0.0019902986914839076,-0.0020097013085160925,1.0
2025-12-10,2,-0.015385122302044309,-0.01938512230204431,1.0
2025-12-11,2,-0.0034698444733829523,-0.007469844473382954,1.0
2025-12-12,2,0.01595206540250997,0.011952065402509971,1.0
2025-12-15,2,0.0049101984501585426,0.0009101984501585429,0.9999999999999999
2025-12-16,2,0.02733816354174106,0.023338163541741057,1.0
2025-12-17,2,0.007169830965924124,0.0031698309659241204,1.0
2025-12-18,2,0.47007692521652644,0.46607692521652644,1.0
2025-12-19,2,0.12832564568182162,0.12432564568182161,0.9999999999999999
2025-12-22,2,0.0661926266689991,0.06219262666899909,0.9999999999999999
2025-12-23,2,0.018999440947275976,0.014999440947275969,1.0
2025-12-24,2,0.08277871489748082,0.07877871489748081,1.0
2025-12-29,2,0.03297611454986069,0.028976114549860685,1.0
2025-12-30,2,0.03500279999559849,0.031002799995598487,1.0
2026-01-02,2,0.06187312839582962,0.05787312839582962,1.0
2026-01-05,2,0.08460721752428003,0.08060721752428003,1.0
2026-01-06,2,0.004999970822356077,0.0009999708223560762,1.0
2026-01-07,2,0.015468762585852093,0.011468762585852093,1.0
2026-01-08,2,-0.001713748560515461,-0.005713748560515462,1.0
2026-01-09,2,0.00881133615899347,0.004811336158993471,0.9999999999999998
2026-01-12,2,0.03496851418647414,0.03096851418647414,1.0
2026-01-13,2,0.11777797456676133,0.11377797456676134,1.0
2026-01-14,2,0.05412329441446599,0.050123294414465995,1.0
2026-01-15,2,-0.07688501998853448,-0.08088501998853448,1.0
