model,date,rolling_return_20d,rolling_vol_20d,rolling_sharpe_ann_20d,rolling_maxdd_20d,rolling_winrate_20d
v9d_ref,2025-11-13,,,,,
v9d_ref,2025-11-14,,,,,
v9d_ref,2025-11-17,,,,,
v9d_ref,2025-11-18,,,,,
v9d_ref,2025-11-19,,,,,
v9d_ref,2025-11-20,,,,,
v9d_ref,2025-11-21,,,,,
v9d_ref,2025-11-24,,,,,
v9d_ref,2025-11-25,,,,,
v9d_ref,2025-11-26,,,,,
v9d_ref,2025-11-27,,,,,
v9d_ref,2025-11-28,,,,,
v9d_ref,2025-12-01,,,,,
v9d_ref,2025-12-02,,,,,
v9d_ref,2025-12-03,,,,,
v9d_ref,2025-12-04,,,,,
v9d_ref,2025-12-05,,,,,
v9d_ref,2025-12-08,,,,,
v9d_ref,2025-12-09,,,,,
v9d_ref,2025-12-10,0.16474778967953485,0.02143751423362274,5.832266167531948,-0.03382199975254041,0.6
v9d_ref,2025-12-11,0.1886686097800494,0.021258522359337857,6.643902596281222,-0.03382199975254063,0.65
v9d_ref,2025-12-12,0.1762170758855679,0.02126957374398017,6.244267179603273,-0.03382199975254063,0.65
v9d_ref,2025-12-15,0.1848455536542042,0.021250338070850295,6.524949523171714,-0.03382199975254052,0.65
v9d_ref,2025-12-16,0.17608135041339712,0.020887010658753976,6.348250809791074,-0.031024573765703778,0.65
v9d_ref,2025-12-17,0.18578967615253128,0.020742079794913774,6.707577962322659,-0.023011247476975583,0.7
v9d_ref,2025-12-18,0.5768536604264596,0.07040680255808587,5.663464371232871,-0.011546565564697353,0.75
v9d_ref,2025-12-19,0.710442017047296,0.06988676161218745,6.645638227363215,-0.011546565564697464,0.8
v9d_ref,2025-12-22,0.7040953469665927,0.06996437608723842,6.596094162022177,-0.011546565564697464,0.75
v9d_ref,2025-12-23,0.6276449715418975,0.06885633266610258,6.141756498506931,-0.011546565564697353,0.75
v9d_ref,2025-12-24,0.6678414766798224,0.06844588941655151,6.4626809501141285,-0.011546565564697464,0.8
v9d_ref,2025-12-29,0.6586786364967387,0.068511311712104,6.391943105663948,-0.011546565564697353,0.8
v9d_ref,2025-12-30,0.6802934044116973,0.06836226185954086,6.5580574204957545,-0.011546565564697464,0.8
v9d_ref,2026-01-02,0.7222623924408753,0.06801496674816791,6.882265260987626,-0.011546565564697464,0.85
v9d_ref,2026-01-05,0.6707044284493191,0.06886781355574885,6.450295298092425,-0.02511060987920355,0.8
v9d_ref,2026-01-06,0.6408197304910819,0.0691631419200583,6.214573100744194,-0.029022267221437636,0.75
v9d_ref,2026-01-07,0.614845656239829,0.06931403726404213,6.015813853747408,-0.029022267221437636,0.75
v9d_ref,2026-01-08,0.6141298968341289,0.06932371902431263,6.009918740554091,-0.029022267221437636,0.75
v9d_ref,2026-01-09,0.619145896689441,0.06929630301837551,6.048341789768716,-0.029022267221437636,0.75
v9d_ref,2026-01-12,0.5736707543584469,0.06982463512548613,5.678802979752884,-0.029022267221437636,0.7
v9d_ref,2026-01-13,0.5734404955273806,0.06982842490975939,5.676850794690762,-0.037962745166943535,0.7
v9d_ref,2026-01-14,0.5507573732940401,0.07000696351373013,5.496496178827595,-0.03796274516694298,0.7
v9d_ref,2026-01-15,0.3413382601778636,0.07785551350436268,3.561688204517581,-0.16529362200072595,0.65
v9d_ref,2026-01-19,0.3168222209699256,0.07803481724121615,3.3655306392359674,-0.17143635087338138,0.6
v9d_ref,2026-01-20,0.2850532066737155,0.0780904723910318,3.1118412866378513,-0.17143635087338127,0.6
v9d_ref,2026-01-21,0.28737592496911435,0.07807988304603022,3.1307356317001513,-0.1714363508733815,0.6
v9d_ref,2026-01-22,-0.0583415129703756,0.03614075297003344,-1.0147383259697333,-0.19491558036405932,0.55
