trade_date,day_pnl_net_idr,cum_pnl_net_idr,cum_pnl_net_midr,day_pnl_net_midr
2025-11-13,351954.97995683,351954.97995683,0.35195497995683,0.35195497995683
2025-11-14,102971.602434076,454926.582390906,0.454926582390906,0.102971602434076
2025-11-17,325.203252031999,455251.785642938,0.455251785642938,0.000325203252031999
2025-11-18,491.8032786880012,455743.588921626,0.455743588921626,0.0004918032786880012
2025-11-19,395178.57142857,850922.1603501961,0.8509221603501961,0.39517857142857005
2025-11-20,159745.137491616,1010667.297841812,1.010667297841812,0.159745137491616
2025-11-21,-8875.316290026996,1001791.981551785,1.001791981551785,-0.008875316290026997
2025-11-24,290340.683770955,1292132.66532274,1.29213266532274,0.290340683770955
2025-11-25,366865.900633282,1658998.5659560221,1.658998565956022,0.366865900633282
2025-11-26,-128108.108108108,1530890.4578479142,1.530890457847914,-0.128108108108108
2025-11-27,267462.537462537,1798352.9953104511,1.7983529953104511,0.267462537462537
2025-11-28,11517.094017094,1809870.0893275451,1.8098700893275452,0.011517094017094
2025-12-01,142200.526242902,1952070.6155704472,1.9520706155704473,0.142200526242902
2025-12-02,-59554.11722402004,1892516.4983464272,1.8925164983464273,-0.05955411722402004
2025-12-03,521069.100391134,2413585.598737561,2.413585598737561,0.521069100391134
2025-12-04,163954.451345755,2577540.050083316,2.577540050083316,0.16395445134575498
2025-12-05,-231779.448621554,2345760.601461762,2.345760601461762,-0.231779448621554
2025-12-08,-37482.517482517,2308278.0839792453,2.3082780839792454,-0.037482517482517005
2025-12-09,-9996.114996115,2298281.96898313,2.29828196898313,-0.009996114996115
2025-12-10,-98125.0,2200156.96898313,2.20015696898313,-0.098125
2025-12-11,-40918.19883298499,2159238.770150145,2.159238770150145,-0.04091819883298499
2025-12-12,61907.66772002501,2221146.43787017,2.22114643787017,0.06190766772002501
2025-12-15,4038.461538460999,2225184.899408631,2.225184899408631,0.004038461538460999
2025-12-16,122394.366197184,2347579.265605815,2.347579265605815,0.12239436619718401
2025-12-17,10357.897278049,2357937.1628838643,2.3579371628838643,0.010357897278049
2025-12-18,2333390.498718706,4691327.66160257,4.691327661602569,2.333390498718706
2025-12-19,609370.629370629,5300698.290973199,5.300698290973199,0.609370629370629
2025-12-22,311284.153005464,5611982.443978663,5.611982443978663,0.311284153005464
2025-12-23,74038.648517258,5686021.09249592,5.6860210924959205,0.074038648517258
2025-12-24,392912.912912912,6078934.005408832,6.078934005408832,0.392912912912912
2025-12-29,145164.36903499498,6224098.374443827,6.224098374443828,0.14516436903499497
2025-12-30,154978.236537743,6379076.610981571,6.379076610981571,0.154978236537743
2026-01-02,292500.0,6671576.610981571,6.67157661098157,0.2925
2026-01-05,403737.91621911793,7075314.527200689,7.075314527200689,0.4037379162191179
2026-01-06,4752.475247524,7080067.002448212,7.080067002448212,0.004752475247524
2026-01-07,57312.534209085,7137379.536657297,7.137379536657297,0.057312534209085005
2026-01-08,-28341.944372686,7109037.592284611,7.109037592284611,-0.028341944372686
2026-01-09,24024.220766328,7133061.81305094,7.13306181305094,0.024024220766328
2026-01-12,154456.66404818,7287518.47709912,7.28751847709912,0.15445666404818
2026-01-13,565507.9217148169,7853026.398813937,7.853026398813937,0.5655079217148169
2026-01-14,251752.83732660703,8104779.236140544,8.104779236140544,0.251752837326607
2026-01-15,-415663.836811697,7689115.3993288465,7.689115399328847,-0.415663836811697
2026-01-19,-102938.388625592,7586177.0107032545,7.5861770107032545,-0.10293838862559199
2026-01-20,57570.047355958,7643747.058059213,7.643747058059213,0.057570047355958
2026-01-21,-206507.936507937,7437239.121551276,7.4372391215512765,-0.206507936507937
2026-01-22,248402.39912759003,7685641.520678867,7.685641520678867,0.24840239912759005
2026-01-23,273184.77553676,7958826.296215626,7.958826296215626,0.27318477553676
2026-01-26,-128648.648648648,7830177.647566979,7.830177647566979,-0.128648648648648
2026-01-27,-206237.37373737295,7623940.273829605,7.623940273829605,-0.20623737373737294
2026-01-28,-29753.901560624,7594186.372268981,7.5941863722689815,-0.029753901560623998
