date,r_guard,r_obj,net_return_blend_80_20,cum_return_blend_80_20,drawdown_blend_80_20
2025-11-13,0.03519549799568301,0.05463838858357818,0.03908407611326204,0.039084076113262034,0.0
2025-11-14,0.010297160243407707,0.03304159824849479,0.014846047844425125,0.054510368021619904,0.0
2025-11-17,3.2520325203252206e-05,0.11997634885439758,0.024021286031042116,0.07984106319456674,0.0
2025-11-18,4.9180327868852524e-05,0.002358011848081081,0.0005109466319112983,0.08039280434880558,0.0
2025-11-19,0.03951785714285714,0.014817226890756319,0.034577731092436975,0.11775033621178244,0.0
2025-11-20,0.015974513749161635,0.012208095075143128,0.015221230014357934,0.1347638711778878,0.0
2025-11-21,-0.0008875316290027054,0.00031937807267883966,-0.0006461496886663964,0.1340306438558163,-0.0006461496886663864
2025-11-24,0.029034068377095473,0.04369113168202464,0.031965481038081306,0.17028047889859255,0.0
2025-11-25,0.03668659006332833,0.07503344015041956,0.044355960080746576,0.22218939310389563,0.0
2025-11-26,-0.012810810810810813,-0.016381473122315107,-0.013524943273111673,0.20565935089316656,-0.013524943273111711
2025-11-27,0.026746253746253747,0.04414304306684515,0.03022561161037203,0.24210114216767664,0.0
2025-11-28,0.0011517094017094017,-0.017247921789017677,-0.002528216836436014,0.23896084114749194,-0.0025282168364360036
2025-12-01,0.014220052624290266,0.020816914835201438,0.0155394250664725,0.25821358029879704,0.0
2025-12-02,-0.005955411722402014,-0.01278125059141922,-0.007320579496205456,0.2490027277610145,-0.007320579496205348
2025-12-03,0.05210691003911343,0.06560270072467808,0.054806068176226366,0.3174556564109774,0.0
2025-12-04,0.016395445134575568,-0.02467955086342666,0.008180445934975121,0.3282330311799744,0.0
2025-12-05,-0.023177944862155388,0.018890302679776365,-0.014764295353769039,0.3086226064090014,-0.014764295353768997
2025-12-08,-0.003748251748251748,-0.007413221083123995,-0.004481245615226197,0.3027583470920452,-0.019179378535179148
2025-12-09,-0.0009996114996114994,0.0107408917184955,0.0013484891440099006,0.30451510258036696,-0.017856752574912926
2025-12-10,-0.009812500000000002,-0.018835422690320607,-0.011617084538064123,0.2893604403525094,-0.02926639370873907
