trade_date,pick_rank,ticker,pred_proba,risk_norm,rank_daily,pred_rank,effective_threshold,score,weight,allocation_idr,entry_price,exit_price,trade_gross_return,trade_net_return,weighted_gross_return,weighted_net_return,policy_mode,exit_date,exit_cutoff_close,exit_hour_used,exit_price_match_cutoff,capital_reference_idr,pnl_gross_idr,pnl_net_idr,day_gross_return,day_net_return,day_pnl_gross_idr,day_pnl_net_idr,cum_pnl_net_idr
2026-03-17,1,CAMP,0.5328675976429079,0.5260818118318688,1.0,1,0.511020817273463,0.0103535865699944,0.25,2500000.0,195.0,195.0,0.0,-0.004,0.0,-0.001,threshold,2026-04-01,195.0,10,True,10000000.0,0.0,-10000.0,-0.0097765363128491,-0.011776536312849101,-97765.363128491,-117765.36312849101,-117765.36312849101
2026-03-17,2,PSSI,0.5285524709818805,0.4973959579210481,2.0,2,0.511020817273463,0.008811480018179,0.25,2500000.0,358.0,344.0,-0.0391061452513966,-0.0431061452513966,-0.0097765363128491,-0.0107765363128491,threshold,2026-04-02,344.0,10,True,10000000.0,-97765.363128491,-107765.36312849101,-0.0097765363128491,-0.011776536312849101,-97765.363128491,-117765.36312849101,-117765.36312849101
2026-03-25,1,ARII,0.5344003532636965,0.4973959579210481,1.0,1,0.5110834222461292,0.0117191837783053,0.25,2500000.0,280.0,282.0,0.0071428571428571,0.0031428571428571,0.0017857142857142,0.0007857142857142,threshold,2026-03-26,282.0,10,True,10000000.0,17857.142857142,7857.142857142,0.0054621848739494,0.0034621848739494,54621.848739494,34621.848739494,-83143.514388997
2026-03-25,2,RIGS,0.5291317345109958,0.4973959579210481,2.0,2,0.5110834222461292,0.009071154697025,0.25,2500000.0,680.0,690.0,0.0147058823529411,0.0107058823529411,0.0036764705882352,0.0026764705882352,threshold,2026-03-31,690.0,10,True,10000000.0,36764.705882352,26764.705882352,0.0054621848739494,0.0034621848739494,54621.848739494,34621.848739494,-83143.514388997
2026-03-26,1,BNLI,0.5371518626472336,0.427258476168584,1.0,1,0.5225862217529389,0.0083423473613795,0.25,2500000.0,2450.0,2700.0,0.1020408163265306,0.0980408163265306,0.0255102040816326,0.0245102040816326,threshold,2026-03-31,2700.0,10,True,10000000.0,255102.040816326,245102.040816326,0.10172971627675449,0.09972971627675449,1017297.162767545,997297.162767545,914153.648378548
2026-03-26,2,RGAS,0.5322068214037272,0.4973959579210481,2.0,2,0.5225862217529389,0.0048353522717095,0.25,2500000.0,82.0,107.0,0.3048780487804878,0.3008780487804878,0.0762195121951219,0.0752195121951219,threshold,2026-03-30,107.0,10,True,10000000.0,762195.1219512189,752195.1219512189,0.10172971627675449,0.09972971627675449,1017297.162767545,997297.162767545,914153.648378548
2026-03-27,1,SKLT,0.5623409383072419,0.4111651409331106,1.0,1,0.5441039206890327,0.0107385916990185,0.25,2500000.0,218.0,206.0,-0.055045871559633,-0.059045871559633,-0.0137614678899082,-0.0147614678899082,threshold,2026-04-06,206.0,10,True,10000000.0,-137614.678899082,-147614.678899082,-0.0078090869375273,-0.0098090869375273,-78090.869375273,-98090.869375273,816062.779003275
2026-03-27,2,BATR,0.561441468565985,0.5334684303426349,2.0,2,0.5441039206890327,0.0080885134250442,0.25,2500000.0,84.0,86.0,0.0238095238095238,0.0198095238095238,0.0059523809523809,0.0049523809523809,threshold,2026-04-01,86.0,10,True,10000000.0,59523.809523809,49523.809523809,-0.0078090869375273,-0.0098090869375273,-78090.869375273,-98090.869375273,816062.779003275
2026-03-30,1,PNBN,0.6036397683503628,0.3048666230383149,2.0,2,0.5902809344600172,0.0092861713144661,0.25,2500000.0,960.0,965.0,0.0052083333333333,0.0012083333333333,0.0013020833333333,0.0003020833333333,threshold,2026-04-14,965.0,10,True,10000000.0,13020.833333333001,3020.833333333,-0.009567481884058,-0.011567481884058,-95674.81884058,-115674.81884058,700387.960162695
2026-03-30,2,PTSN,0.6059033484126299,0.4966611529157543,1.0,1,0.5902809344600172,0.0078633678275809,0.25,2500000.0,322.0,308.0,-0.0434782608695652,-0.0474782608695652,-0.0108695652173913,-0.0118695652173913,threshold,2026-04-01,308.0,10,True,10000000.0,-108695.65217391301,-118695.652173913,-0.009567481884058,-0.011567481884058,-95674.81884058,-115674.81884058,700387.960162695
