trade_date,pick_rank,ticker,pred_proba,risk_norm,rank_daily,pred_rank,effective_threshold,score,weight,allocation_idr,entry_price,exit_price,trade_gross_return,trade_net_return,weighted_gross_return,weighted_net_return,policy_mode,exit_date,exit_cutoff_close,exit_hour_used,exit_price_match_cutoff,capital_reference_idr,pnl_gross_idr,pnl_net_idr,day_gross_return,day_net_return,day_pnl_gross_idr,day_pnl_net_idr,cum_pnl_net_idr
2025-11-13,1,ARTA,0.5244960305648959,0.4973959579210481,1.0,1,0.4957572456769829,0.0144442294491025,0.25,2500000.0,2820.0,3260.0,0.1560283687943262,0.1520283687943262,0.0390070921985815,0.0380070921985815,threshold,2025-11-14,3260.0,10,True,10000000.0,390070.921985815,380070.921985815,0.037195497995682995,0.035195497995683,371954.97995683,351954.97995683,351954.97995683
2025-11-13,2,EURO,0.5200868812104921,0.594248334295467,2.0,2,0.4957572456769829,0.0098717901437055,0.25,2500000.0,276.0,274.0,-0.0072463768115942,-0.0112463768115942,-0.0018115942028985,-0.0028115942028985,threshold,2025-12-04,274.0,10,True,10000000.0,-18115.942028985,-28115.942028985,0.037195497995682995,0.035195497995683,371954.97995683,351954.97995683,351954.97995683
2025-11-14,1,BBSS,0.5287703726163621,0.2387190189419477,1.0,1,0.5006368783302984,0.0214174941306856,0.25,2500000.0,348.0,360.0,0.0344827586206896,0.0304827586206896,0.0086206896551724,0.0076206896551724,threshold,2025-11-21,360.0,10,True,10000000.0,86206.896551724,76206.896551724,0.0122971602434076,0.0102971602434076,122971.60243407599,102971.60243407599,454926.58239090594
2025-11-14,2,KMTR,0.5249631625335492,0.2970597531116947,2.0,2,0.5006368783302984,0.0170999242237082,0.25,2500000.0,272.0,276.0,0.0147058823529411,0.0107058823529411,0.0036764705882352,0.0026764705882352,threshold,2025-11-21,276.0,10,True,10000000.0,36764.705882352,26764.705882352,0.0122971602434076,0.0102971602434076,122971.60243407599,102971.60243407599,454926.58239090594
2025-11-17,1,IPOL,0.5231594233355309,0.3984963790917598,1.0,1,0.4969874279783194,0.0157425499737563,0.25,2500000.0,123.0,124.0,0.008130081300813,0.004130081300813,0.0020325203252032,0.0010325203252032,threshold,2025-11-21,124.0,10,True,10000000.0,20325.203252032003,10325.203252031999,0.0020325203252032,3.252032520319995e-05,20325.203252032003,325.203252031999,455251.78564293793
2025-11-17,2,LPCK,0.5221743519555401,0.4973959579210481,2.0,2,0.4969874279783194,0.0126590497984863,0.25,2500000.0,575.0,575.0,0.0,-0.004,0.0,-0.001,threshold,2025-11-18,575.0,10,True,10000000.0,0.0,-10000.0,0.0020325203252032,3.252032520319995e-05,20325.203252032003,325.203252031999,455251.78564293793
2025-11-18,1,CSAP,0.5106945590993305,0.4973959579210481,1.0,1,0.4803277925086735,0.0152624596333322,0.25,2500000.0,326.0,326.0,0.0,-0.004,0.0,-0.001,threshold,2025-11-24,326.0,10,True,10000000.0,0.0,-10000.0,0.0020491803278688,4.918032786880005e-05,20491.803278688,491.8032786880012,455743.5889216259
2025-11-18,2,HELI,0.5051886174776464,0.4973959579210481,2.0,2,0.4803277925086735,0.0124951511188231,0.25,2500000.0,244.0,246.0,0.0081967213114754,0.0041967213114754,0.0020491803278688,0.0010491803278688,threshold,2025-11-20,246.0,10,True,10000000.0,20491.803278688,10491.803278688001,0.0020491803278688,4.918032786880005e-05,20491.803278688,491.8032786880012,455743.5889216259
2025-11-19,1,AGRS,0.5180153239591923,0.4065534249694012,2.0,2,0.4985374500690394,0.0115590775489891,0.25,2500000.0,70.0,81.0,0.1571428571428571,0.1531428571428571,0.0392857142857142,0.0382857142857142,threshold,2025-11-26,81.0,10,True,10000000.0,392857.142857142,382857.142857142,0.041517857142857,0.039517857142857,415178.57142857,395178.57142857,850922.160350196
2025-11-19,2,KAEF,0.5193874502482886,0.4488420161145444,1.0,1,0.4985374500690394,0.0114916440628063,0.25,2500000.0,560.0,565.0,0.0089285714285714,0.0049285714285714,0.0022321428571428,0.0012321428571428,threshold,2025-11-20,565.0,10,True,10000000.0,22321.428571428,12321.428571428,0.041517857142857,0.039517857142857,415178.57142857,395178.57142857,850922.160350196
