variant,alpha,cap_per_name,days,trading_days,mean_exposure,mean_daily_net_return,volatility_daily,win_rate_days,cumulative_net_return,max_drawdown
baseline_k2_w25_guard,,0.25,100,100,0.5,0.008342401225821838,0.036881367815573586,0.59,1.1520865703289025,-0.26041089626915104
kelly_full,1.0,,100,100,0.9927147777381663,0.016813339567836733,0.07399431573199625,0.58,3.131041524232641,-0.47530551609359506
kelly_frac25,0.25,,100,100,0.9315818625892679,0.014768366857933278,0.07245794104538318,0.58,2.4128898405472716,-0.47530551609359484
kelly_frac25_cap25,0.25,0.25,100,100,0.4840504669440624,0.008054178553572195,0.03670800753524874,0.57,1.0927202789151647,-0.2604108962691508
