feature,importance_gain,importance_split
close_to_vwap,8941.953559398651,61
last_hour_above_vwap,7887.093067169189,24
pre14_tick_pct,7648.368638038635,19
close_range_pct,6357.773067474365,33
pre14_spread_cost_est,4061.9146842956543,9
close_drive,3054.852367401123,20
pre14_close_vs_orb_mid,2934.810517311096,16
pre14_close_vs_orb_low,2264.6899795532227,18
pre14_range_pct,2202.116439819336,9
pre14_close_vs_open9,1801.125561952591,15
pre14_vwap,1757.5899562835693,8
pre14_turnover_until14,1594.3167139440775,23
ihsg_prev_close,1524.139699935913,17
ihsg_ma_5,1219.7892208099365,13
pre14_close_to_vwap,1109.791603088379,14
pre14_pm_high_breakout_strength,1049.2050170898438,4
usdidr_prev_close,1016.5228255987167,10
pre14_orb_position,1011.3469667434692,7
vix_prev_close,912.6798067092896,14
pre14_orb_range_pct,822.8592023849487,14
nasdaq_prev_return,812.2082319259644,11
ihsg_close_ma20_ratio,810.5237930119038,10
ihsg_ma_100,784.5075969696045,12
ihsg_prev_return,724.6791944503784,13
pre14_am_turnover,720.8437051773071,14
vol_above_vwap_pct,634.6520042419434,6
nikkei_prev_return,627.6474781036377,12
pre14_vwap_trend,568.7398071289062,3
pre14_pm_close_near_high,531.4588041305542,11
ihsg_ma_20,423.9457015991211,12
max_return_20d_tminus1,413.5396394729614,14
pre14_pm_turnover,356.2358055114746,6
vix_5d_avg,329.3165636062622,7
usdidr_5d_return,319.6260986328125,9
max_return_5d_tminus1,319.17234659194946,11
vwap_trend,318.2260971069336,7
ihsg_ma_200,286.0080032348633,4
pre14_pm_high_close_spread,284.27660369873047,6
pre14_vol_above_vwap_pct,257.4541025161743,6
open_pm_to_vwap_am,224.15029907226562,2
ihsg_close_ma5_ratio,207.8152027130127,5
pre14_pm_volume,195.72735023498535,5
pre14_pm_high_vs_orb_high,186.70849895477295,5
pre14_orb_body_pct,176.92830085754395,5
pre14_close_orb_high_hold,172.85840034484863,3
pre14_pm_low_vs_close11,166.62319946289062,6
pre14_pm_high_vs_close11,148.40560150146484,5
pre14_am_volume,140.63147866725922,6
pre14_until14_volume_to_dailyvol_20d,130.39599895477295,5
pre14_volume_until14,124.4535698890686,5
yf_daily_range_ma_20_sum,121.5673999786377,3
yf_daily_close_ma_60_mean,117.61669826507568,2
yf_daily_turnover_mean,107.79839706420898,2
noara_streak_tminus1,104.44219779968262,4
pre14_am_turnover_to_dailyturnover_20d,98.49699783325195,3
pre14_pm_drive,93.7494010925293,4
pre14_turnover_until14_ratio_20d,91.99309730529785,3
pre14_volume_14h,85.87140308320522,5
pre14_pm_am_volume_ratio,82.20505142211914,3
pre14_pm_open_to_vwap_am,77.4640007019043,2
pre14_until14_turnover_to_dailyturnover_20d,75.72992432117462,6
yf_daily_volume_ma_20_sum,72.09119987487793,2
pre14_volume_14h_ratio_to_avg_hourly,70.649001121521,2
yf_daily_range_ma_60_sum,62.46609878540039,2
broker_count,59.834598541259766,1
yf_daily_open_mean,57.34079933166504,2
pre14_until14_volume_to_dailyvol_5d,57.061880111694336,4
yf_daily_close_z_60_sum,55.9867000579834,2
pre14_am_volume_to_dailyvol_20d,55.095699310302734,1
pre14_until14_volume_to_dailyvol_10d,53.50290012359619,2
usdidr_prev_return,51.964599609375,2
pre14_close_above_vwap,51.656700134277344,1
