feature,importance_gain,importance_split
close_ret_last1h,30900.720009803772,84
close_range_pct,16503.332568883896,76
overnight_positive_rate60,9705.886555194855,55
close_vs_open_day,8444.575934886932,96
overnight_positive_rate20,6692.924701690674,48
vix_prev_close,3859.6211256980896,66
yf_daily_ret_cc_mean,3222.295343399048,47
usdidr_prev_close,3069.103071808815,61
yf_daily_ret_oc_sum,2535.1974382400513,26
vix_5d_avg,2065.000415802002,46
yf_daily_ret_cc_sum,2031.6169033050537,25
overnight_positive_rate5,1812.9474954605103,20
gap_up2_followthrough_freq_20d,1509.8676500320435,13
yf_daily_ret_oc_mean,1491.024709701538,24
overnight_ret_ma5,1429.974588394165,32
usdidr_5d_return,1182.4038492441177,48
overnight_p10_5d,1142.303861618042,25
yf_daily_high_mean,848.6223058700562,14
gap_up2_followthrough_freq_5d,692.8135173916817,13
yf_daily_close_z_5_mean,680.6375645399094,16
gap_up2_freq_20d,660.1030786037445,17
gap_down2_freq_20d,650.6899584531784,21
gap_down2_freq_5d,596.8863019943237,13
usdidr_prev_return,594.6923710331321,30
overnight_worst_5d,585.6985211372375,12
overnight_ret_ma60,493.6754951477051,20
nikkei_prev_return,446.8933802843094,23
overnight_ret_ma20,390.5407580137253,16
gapdown_freq_20d,365.0830421447754,14
yf_daily_volume_velocity_20_mean,339.6995086669922,17
nasdaq_prev_return,314.0502886772156,18
gap_up2_freq_5d,307.79344379901886,11
yf_daily_close_z_60_sum,306.96332001686096,12
yf_daily_range_pct_mean,301.09478092193604,11
overnight_p10_20d,298.571702003479,12
yf_daily_volume_velocity_60_mean,273.6296682357788,12
gap_up2_followthrough_freq_60d,256.6327123641968,9
yf_daily_volume_velocity_60_sum,240.1746015548706,8
yf_daily_prev_close_mean,239.0253028869629,4
gapdown_severe_freq_20d,236.1887125968933,6
gapdown_freq_60d,221.3835105895996,13
yf_daily_range_ma_5_mean,219.58827686309814,9
flow_churn_ratio_mean,219.26250076293945,9
yf_daily_close_ma_60_sum,215.2057750225067,7
overnight_worst_20d,209.59933137893677,10
yf_daily_gap_open_prev_close_sum,199.49840354919434,4
yf_daily_close_mean,199.13700485229492,5
yf_daily_close_ma_5_mean,198.4731969833374,7
yf_daily_close_z_20_mean,195.7126681804657,9
