policy,mode,k,maxw,q,rank_weights,days,trading_days,mean_daily_net_return,mean_daily_gross_return,mean_effective_threshold,net_expectancy_per_trade,win_rate_days,cumulative_net_return,max_drawdown,volatility_daily,worst_day,tail_le_5pct_days,tail_le_8pct_days,calmar100
threshold_k1_w0.25,threshold,1,0.25,0.85,,100,100,0.004582207520034884,0.01153988711354263,0.5820233903289715,0.018328830080139535,0.38,0.5393326073521265,-0.09550545444258995,0.02301029428666257,-0.04201847627737226,0,0,5.647139323087867
rank_k1_w0.25,rank,1,0.25,0.85,,100,100,0.004582207520034884,0.01153988711354263,0.5820233903289715,0.018328830080139535,0.38,0.5393326073521265,-0.09550545444258995,0.02301029428666257,-0.04201847627737226,0,0,5.647139323087867
pure_k1_w0.25,pure,1,0.25,0.85,,100,100,0.004582207520034884,0.01153988711354263,0.5820233903289715,0.018328830080139535,0.38,0.5393326073521265,-0.09550545444258995,0.02301029428666257,-0.04201847627737226,0,0,5.647139323087867
threshold_q0.90_k1_w25,threshold,1,0.25,0.9,,100,100,0.004582207520034884,0.01153988711354263,0.6188681253504954,0.018328830080139535,0.38,0.5393326073521265,-0.09550545444258995,0.02301029428666257,-0.04201847627737226,0,0,5.647139323087867
threshold_q0.95_k1_w25,threshold,1,0.25,0.95,,100,100,0.004582207520034884,0.01153988711354263,0.6707361052915324,0.018328830080139535,0.38,0.5393326073521265,-0.09550545444258995,0.02301029428666257,-0.04201847627737226,0,0,5.647139323087867
threshold_k1_w0.34,threshold,1,0.34,0.85,,100,100,0.006231802227247447,0.015694246474417976,0.5820233903289715,0.018328830080139535,0.38,0.7751446435146345,-0.12842482162921498,0.0312940002298611,-0.057145127737226284,3,0,6.035785245258999
rank_k1_w0.34,rank,1,0.34,0.85,,100,100,0.006231802227247447,0.015694246474417976,0.5820233903289715,0.018328830080139535,0.38,0.7751446435146345,-0.12842482162921498,0.0312940002298611,-0.057145127737226284,3,0,6.035785245258999
pure_k1_w0.34,pure,1,0.34,0.85,,100,100,0.006231802227247447,0.015694246474417976,0.5820233903289715,0.018328830080139535,0.38,0.7751446435146345,-0.12842482162921498,0.0312940002298611,-0.057145127737226284,3,0,6.035785245258999
threshold_k1_w0.5,threshold,1,0.5,0.85,,100,100,0.009164415040069767,0.02307977422708526,0.5820233903289715,0.018328830080139535,0.38,1.2508339884537762,-0.18505715846446913,0.04602058857332514,-0.08403695255474453,5,1,6.759176455710767
rank_k1_w0.5,rank,1,0.5,0.85,,100,100,0.009164415040069767,0.02307977422708526,0.5820233903289715,0.018328830080139535,0.38,1.2508339884537762,-0.18505715846446913,0.04602058857332514,-0.08403695255474453,5,1,6.759176455710767
pure_k1_w0.5,pure,1,0.5,0.85,,100,100,0.009164415040069767,0.02307977422708526,0.5820233903289715,0.018328830080139535,0.38,1.2508339884537762,-0.18505715846446913,0.04602058857332514,-0.08403695255474453,5,1,6.759176455710767
threshold_q0.95_k2_w25,threshold,2,0.25,0.95,,100,100,0.0052003266705671625,0.01948989366210209,0.6707361052915324,0.010452917930788268,0.38,0.5964902695241066,-0.1862369259075255,0.0324619091219776,-0.06369653206154043,1,0,3.2028571488571993
threshold_k2_w0.25,threshold,2,0.25,0.85,,100,100,0.005177306919327516,0.019516348688557113,0.5820233903289715,0.010354613838655033,0.38,0.5927734969749323,-0.1862369259075255,0.032474356931708144,-0.06369653206154043,1,0,3.1828999221629624
