policy,mode,k,maxw,q,rank_weights,days,trading_days,mean_daily_net_return,mean_daily_gross_return,mean_effective_threshold,net_expectancy_per_trade,win_rate_days,cumulative_net_return,max_drawdown,volatility_daily,worst_day,tail_le_5pct_days,tail_le_8pct_days,calmar100
rank_k2_w0.25,rank,2,0.25,0.85,,100,100,0.005177306919327516,0.019516348688557113,0.5820233903289715,0.010354613838655031,0.38,0.5927734969749323,-0.1862369259075255,0.032474356931708144,-0.06369653206154043,1,0,3.1828999221629624
pure_k2_w0.25,pure,2,0.25,0.85,,100,100,0.005177306919327516,0.019516348688557113,0.5820233903289715,0.010354613838655033,0.38,0.5927734969749323,-0.1862369259075255,0.032474356931708144,-0.06369653206154043,1,0,3.1828999221629624
threshold_q0.90_k2_w25,threshold,2,0.25,0.9,,100,100,0.005177306919327516,0.019516348688557113,0.6188681253504954,0.010354613838655033,0.38,0.5927734969749323,-0.1862369259075255,0.032474356931708144,-0.06369653206154043,1,0,3.1828999221629624
threshold_k2_w0.34,threshold,2,0.34,0.85,,100,100,0.0070411374102854205,0.026542234216437692,0.5820233903289715,0.010354613838655033,0.38,0.8377707644181283,-0.24555278226466914,0.04416512542712307,-0.08662728360369498,5,1,3.4117746770840363
rank_k2_w0.34,rank,2,0.34,0.85,,100,100,0.0070411374102854205,0.026542234216437692,0.5820233903289715,0.010354613838655031,0.38,0.8377707644181283,-0.24555278226466914,0.04416512542712307,-0.08662728360369498,5,1,3.4117746770840363
pure_k2_w0.34,pure,2,0.34,0.85,,100,100,0.0070411374102854205,0.026542234216437692,0.5820233903289715,0.010354613838655033,0.38,0.8377707644181283,-0.24555278226466914,0.04416512542712307,-0.08662728360369498,5,1,3.4117746770840363
threshold_k3_w0.25,threshold,3,0.25,0.85,,100,100,0.009770572279101058,0.031212153627025053,0.5820233903289715,0.013027429705468075,0.47,1.4305259872630853,-0.2824456059558449,0.04208078786706038,-0.07630616503789027,2,0,5.064784004771246
rank_k3_w0.25,rank,3,0.25,0.85,,100,100,0.009770572279101058,0.031212153627025053,0.5820233903289715,0.013027429705468078,0.47,1.4305259872630853,-0.2824456059558449,0.04208078786706038,-0.07630616503789027,2,0,5.064784004771246
pure_k3_w0.25,pure,3,0.25,0.85,,100,100,0.009770572279101058,0.031212153627025053,0.5820233903289715,0.013027429705468078,0.47,1.4305259872630853,-0.2824456059558449,0.04208078786706038,-0.07630616503789027,2,0,5.064784004771246
threshold_q0.95_k3_w25,threshold,3,0.25,0.95,,100,100,0.009424757542845712,0.03076662345606136,0.6707361052915324,0.012650681265564715,0.46,1.348393778933901,-0.2824456059558449,0.042109738498590496,-0.07630616503789027,2,0,4.7739945338172385
threshold_q0.90_k3_w25,threshold,3,0.25,0.9,,100,100,0.009401737791606066,0.030793078482516383,0.6188681253504954,0.01257757564094457,0.46,1.3429265075707035,-0.2824456059558449,0.04212164385918172,-0.07630616503789027,2,0,4.754637633770253
pure_k2_w1,pure,2,1.0,0.85,,100,100,0.01059573583102854,0.03923887010853092,0.5820233903289715,0.010354613838655033,0.38,1.3544412580093255,-0.3392964357421946,0.06498546141265608,-0.1281401005276295,9,3,3.991911247303705
rank_k2_w0.5,rank,2,0.5,0.85,,100,100,0.010354613838655031,0.03903269737711423,0.5820233903289715,0.010354613838655031,0.38,1.299474611690136,-0.34183595002641476,0.06494871386341627,-0.12739306412308085,9,3,3.8014568438156413
threshold_k2_w0.5,threshold,2,0.5,0.85,,100,100,0.01035461383865503,0.03903269737711423,0.5820233903289715,0.010354613838655033,0.38,1.299474611690136,-0.34183595002641476,0.06494871386341627,-0.12739306412308085,9,3,3.8014568438156413
pure_k2_w0.5,pure,2,0.5,0.85,,100,100,0.010354613838655031,0.03903269737711423,0.5820233903289715,0.010354613838655033,0.38,1.2994746116901363,-0.34183595002641487,0.06494871386341627,-0.12739306412308085,9,3,3.8014568438156413
threshold_k2_w1,threshold,2,1.0,0.85,,100,100,0.011313157929892258,0.03981506873011128,0.5820233903289715,0.010354613838655033,0.39,1.5120767226108858,-0.3447774748448569,0.06605831390082256,-0.1397486445959115,8,4,4.385659832595765
threshold_k1_w1,threshold,1,1.0,0.85,,100,100,0.018328830080139535,0.04615954845417052,0.5820233903289715,0.018328830080139535,0.38,3.171928003022601,-0.34674392858657666,0.09204117714665028,-0.16807390510948905,11,7,9.147753548136372
rank_k1_w1,rank,1,1.0,0.85,,100,100,0.018328830080139535,0.04615954845417052,0.5820233903289715,0.018328830080139535,0.38,3.171928003022601,-0.34674392858657666,0.09204117714665028,-0.16807390510948905,11,7,9.147753548136372
pure_k1_w1,pure,1,1.0,0.85,,100,100,0.018328830080139535,0.04615954845417052,0.5820233903289715,0.018328830080139535,0.38,3.171928003022601,-0.34674392858657666,0.09204117714665028,-0.16807390510948905,11,7,9.147753548136372
threshold_k3_w0.5,threshold,3,0.5,0.85,,100,100,0.012320052356841011,0.04085133272796823,0.5820233903289715,0.013027429705468075,0.46,1.9282399688399376,-0.3540510876881814,0.05659051166194762,-0.11675033318700122,4,1,5.446219587773644
threshold_k3_w1,threshold,3,1.0,0.85,,100,100,0.01264371621375639,0.041192705623050746,0.5820233903289715,0.013027429705468075,0.46,2.0132488134768307,-0.3562108412231737,0.05723985149919295,-0.12084055925330016,4,1,5.651845986954359
threshold_k3_w0.34,threshold,3,0.34,0.85,,100,100,0.012950362659762182,0.04156223053042205,0.5820233903289715,0.013027429705468075,0.47,2.1260224049682126,-0.3563515947529263,0.056003600930140236,-0.10276620855968258,5,1,5.966080792881744
pure_k3_w0.5,pure,3,0.5,0.85,,100,100,0.013033285537809724,0.04159020726349683,0.5820233903289715,0.013027429705468078,0.47,2.152451596616308,-0.3566726292954534,0.05595460804858403,-0.10347257724346501,5,1,6.034810130701963
pure_k3_w1,pure,3,1.0,0.85,,100,100,0.013033285537809724,0.04159020726349683,0.5820233903289715,0.013027429705468078,0.47,2.152451596616308,-0.3566726292954534,0.05595460804858403,-0.10347257724346501,5,1,6.034810130701963
pure_k3_w0.34,pure,3,0.34,0.85,,100,100,0.012994292051101863,0.04157268509082591,0.5820233903289715,0.013027429705468078,0.47,2.1390361036287615,-0.35702736642957145,0.05604199600153219,-0.1026756804387897,5,1,5.991238500902748
rank_k3_w0.34,rank,3,0.34,0.85,,100,100,0.012935810677727144,0.04153050727327277,0.5820233903289715,0.013027429705468078,0.47,2.121127653920333,-0.35982227709955805,0.05603467660494484,-0.10228753472657384,5,1,5.8949314395379835
rank_k2_60_40,rank,2,1.0,0.85,"0.6,0.4",100,100,0.009743969775584217,0.038383737251408305,0.5820233903289715,0.010354613838655031,0.4,1.1499488992196114,-0.36200604708440176,0.06597779585029406,-0.13370451013392826,8,5,3.1766013537102618
rank_k2_w1,rank,2,1.0,0.85,,100,100,0.010386089096310194,0.039045882954955646,0.5820233903289715,0.010354613838655031,0.4,1.2941281069280794,-0.36535122650700946,0.06590954155675044,-0.13829758384919946,8,4,3.5421479744320794
rank_k3_50_30_20,rank,3,1.0,0.85,"0.5,0.3,0.2",100,100,0.010545793832731696,0.03935683520203548,0.5820233903289715,0.013027429705468078,0.46,1.4439905735571226,-0.3669852070327092,0.057462843030042024,-0.11377387347404753,6,3,3.934737820177096
rank_k3_w1,rank,3,1.0,0.85,,100,100,0.012307405482551707,0.041008970078738924,0.5820233903289715,0.013027429705468078,0.48,1.9161248567938736,-0.3738945970216031,0.05714990786109791,-0.11657909237584721,4,1,5.124772789062695
rank_k3_w0.5,rank,3,0.5,0.85,,100,100,0.012214015124155384,0.04091391067204963,0.5820233903289715,0.013027429705468078,0.48,1.8925814321384329,-0.3740527285703723,0.05692720229162332,-0.11602396126008756,4,1,5.059664821512919
rank_k3_60_30_10,rank,3,1.0,0.85,"0.6,0.3,0.1",100,100,0.00906962771304578,0.038006327439098236,0.5820233903289715,0.013027429705468078,0.44,1.0682891937297243,-0.41556114361158003,0.06118851588525816,-0.12008531948489497,8,4,2.57071482777572
rank_k2_75_25,rank,2,1.0,0.85,"0.75,0.25",100,100,0.008828003680977999,0.037410297062849374,0.5820233903289715,0.010354613838655031,0.38,0.8995408210243492,-0.4284288590101123,0.0710527545624096,-0.1431716791501994,9,5,2.0996270491739146
