name,horizon_days,n_paths,block_size_days,mean_terminal_return,median_terminal_return,p05_terminal_return,p95_terminal_return,prob_terminal_negative,mean_max_drawdown,median_max_drawdown,p95_worst_max_drawdown,prob_maxdd_le_minus_30pct,prob_maxdd_le_minus_50pct
baseline,100,10000,5,1.4613120727303242,1.0204565903428091,-0.2897549622962289,4.634527416935992,0.1325,-0.3508113543089675,-0.3335878321359001,-0.5722605891077875,0.6198,0.1156
baseline,252,10000,5,8.742830067309276,4.93502256576315,0.17109599234100656,29.959842044255513,0.0343,-0.45993005057329744,-0.4458427665628121,-0.6820939307206948,0.9252,0.3433
half_kelly,100,10000,5,5.250507749699234,2.138439414226469,-0.534720690727598,20.94282580072306,0.168,-0.559137349505929,-0.5516473390160989,-0.8135119294687492,0.9719,0.6263
half_kelly,252,10000,5,94.70233764449802,17.28071181884461,-0.08961052966685673,363.0363936957565,0.0561,-0.6959929314322769,-0.6971925159593131,-0.9021649628143495,0.9999,0.9361
