fold,train_days,valid_days,valid_rows,auc,aucpr,logloss,brier,precision_at_0.5,recall_at_0.5,f1_at_0.5,positive_rate
1,556,20,13257,0.5687040496565023,0.42992257203662276,0.6572994361732476,0.23242816016233606,0.0,0.0,0.0,0.37414196273666744
2,576,20,13257,0.5456997955246495,0.42607808462979696,0.6643731550503656,0.23577161419343712,0.0,0.0,0.0,0.38334464811043223
3,596,20,13342,0.5537577733865142,0.4243942397059861,0.6617306656789999,0.2344816736620351,0.0,0.0,0.0,0.37812921600959376
4,616,20,13760,0.5594845309911798,0.39860331951540623,0.6465827514838,0.22708972505535632,0.0,0.0,0.0,0.3492005813953488
