feature,importance_gain,importance_split
pre14_tick_pct,14488.053530693054,30
pre14_range_pct,5149.285995483398,16
pre14_vwap,3573.2798500061035,4
pre14_spread_cost_est,1608.9470138549805,5
pre14_pm_turnover,1460.7383707761765,11
pre14_close_vs_orb_low,969.8214111328125,5
pre14_pm_high_close_spread,748.8334121704102,2
pre14_close_orb_high_hold,709.7449951171875,1
pre14_orb_upper_wick_pct,623.1348915100098,2
pre14_volume_14h,224.63800048828125,1
pre14_pm_close_near_high,219.65600967407227,3
pre14_orb_body_pct,109.44100189208984,1
pre14_close_vs_open9,104.32989883422852,2
pre14_turnover_until14,88.05561053752899,3
pre14_ret_14h,85.66069793701172,1
v25_sector_turnover_share_t1,82.60359954833984,3
pre14_vol_above_vwap_pct,59.18819999694824,2
pre14_until14_turnover_to_dailyturnover_5d,58.5806999206543,1
pre14_until14_volume_to_dailyvol_20d,52.000301361083984,1
pre14_pm_high_vs_close11,44.33879852294922,1
pre14_am_volume_to_dailyvol_5d,39.8572998046875,1
pre14_volume_until14,36.205501556396484,1
pre14_orb_lower_wick_pct,26.7726993560791,1
pre14_pm_open_to_vwap_am,23.732099533081055,1
pre14_until14_turnover_to_dailyturnover_20d,23.516509532928467,2
pre14_until14_volume_to_dailyvol_10d,23.150100708007812,1
v25_sector_flow_share_t1,22.840900421142578,1
pre14_until14_turnover_to_dailyturnover_10d,20.02869987487793,1
pre14_am_turnover_to_dailyturnover_5d,14.971199989318848,1
f2_inventory_decay_t1,11.48965160548687,2
pre14_ret_11_to_14,11.45300006866455,1
pre14_am_turnover,6.529560089111328,1
pre14_close_vs_orb_mid,0.0,0
pre14_orb_range_pct,0.0,0
pre14_orb_source_hour,0.0,0
pre14_close_to_vwap,0.0,0
pre14_pm_high_above_orb_high,0.0,0
pre14_orb_position,0.0,0
pre14_close_vs_orb_high,0.0,0
pre14_pm_am_volume_ratio,0.0,0
pre14_pm_volume,0.0,0
pre14_am_volume,0.0,0
pre14_vwap_trend,0.0,0
pre14_pm_drive,0.0,0
pre14_close_above_vwap,0.0,0
pre14_pm_low_vs_close11,0.0,0
pre14_pm_open_vs_close11,0.0,0
pre14_pm_high_breakout_strength,0.0,0
pre14_pm_high_vs_orb_high,0.0,0
pre14_orb_breakdown_strength,0.0,0
pre14_orb_breakout_strength,0.0,0
pre14_close_above_orb_high,0.0,0
pre14_close_below_orb_low,0.0,0
pre14_am_volume_to_dailyvol_20d,0.0,0
pre14_pm_am_volume_rate_ratio,0.0,0
pre14_am_turnover_to_dailyturnover_10d,0.0,0
pre14_am_turnover_to_dailyturnover_20d,0.0,0
pre14_until14_volume_to_dailyvol_5d,0.0,0
pre14_pm_am_turnover_ratio,0.0,0
pre14_pm_am_turnover_rate_ratio,0.0,0
pre14_volume_14h_ratio_to_avg_hourly,0.0,0
pre14_am_volume_to_dailyvol_10d,0.0,0
pre14_turnover_until14_ratio_20d,0.0,0
pre14_am_open_is_low,0.0,0
pre14_pm_open_low_dist,0.0,0
pre14_am_open_low_dist,0.0,0
pre14_tick_size,0.0,0
pre14_volume_until14_ratio_20d,0.0,0
pre14_pm_open_is_low,0.0,0
pre14_market_cost_est,0.0,0
forensic_inventory_10d_t1,0.0,0
