feature,importance_gain,importance_split
close_to_vwap,10387.622210025787,63
last_hour_above_vwap,7526.715026855469,21
close_range_pct,6901.5013256073,27
pre14_spread_cost_est,6142.627568244934,15
pre14_tick_pct,5255.568259239197,18
pre14_vwap,4556.49303817749,10
close_drive,3832.9172382354736,26
pre14_range_pct,3531.7628679275513,20
pre14_close_vs_orb_low,3266.5676646232605,22
pre14_close_vs_orb_mid,2427.2059948444366,16
ihsg_prev_close,2121.528175354004,15
pre14_close_to_vwap,1853.7869198322296,20
usdidr_prev_close,1737.1999282836914,19
vix_prev_close,1542.034777879715,16
pre14_turnover_until14,1337.6282866895199,25
pre14_close_vs_open9,1247.2271146774292,14
max_return_20d_tminus1,1002.0644067674875,33
vwap_trend,999.7851819992065,19
pre14_orb_range_pct,971.356107711792,10
pre14_pm_close_near_high,867.6557006835938,16
pre14_pm_high_breakout_strength,856.8710021972656,3
ihsg_ma_100,803.9030065536499,13
ihsg_close_ma20_ratio,779.7827987670898,11
pre14_pm_turnover,745.159595489502,8
ihsg_ma_200,741.9498081207275,10
pre14_market_cost_est,669.6079711914062,1
pre14_vwap_trend,627.7220973968506,5
pre14_am_turnover,611.0999031066895,13
nasdaq_prev_return,610.1305980682373,15
ihsg_prev_return,539.1098079681396,8
vol_above_vwap_pct,539.1062927246094,4
pre14_orb_position,480.93810272216797,3
ihsg_ma_5,448.650963306427,8
pre14_pm_open_to_vwap_am,406.14111328125,2
pre14_pm_high_close_spread,373.12299823760986,8
pre14_volume_until14,370.6600971221924,9
max_return_5d_tminus1,367.64582443237305,18
pre14_close_above_vwap,318.88240814208984,3
pre14_pm_high_vs_orb_high,306.6608009338379,5
open_pm_to_vwap_am,306.37460708618164,5
pre14_close_orb_high_hold,288.42869758605957,2
nikkei_prev_return,280.09628200531006,7
pre14_orb_body_pct,270.04772424697876,6
usdidr_5d_return,256.3570022583008,4
pre14_pm_drive,226.6737995147705,4
pre14_am_volume,223.6765022277832,5
pre14_close_vs_orb_high,219.58239555358887,5
yf_daily_prev_close_mean,178.61504220962524,6
pre14_vol_above_vwap_pct,177.0246000289917,7
ihsg_ma_20,167.82253170013428,4
pre14_pm_high_vs_close11,135.70329761505127,3
pre14_pm_volume,130.4709930419922,1
pre14_pm_low_vs_close11,127.01729416847229,7
vix_5d_avg,111.36051940917969,6
pre14_until14_volume_to_dailyvol_10d,99.44750213623047,4
pre14_turnover_until14_ratio_20d,92.13517045974731,6
ctx_broker_market_share_sum,88.90599822998047,2
usdidr_prev_return,79.02386903762817,3
pre14_until14_volume_to_dailyvol_20d,78.1471004486084,4
pre14_volume_14h,75.26689910888672,1
pre14_volume_until14_ratio_20d,71.19589805603027,2
pre14_until14_turnover_to_dailyturnover_20d,68.06105065345764,3
pre14_until14_turnover_to_dailyturnover_5d,66.47529935836792,4
yp_flow_net_flow_ratio,60.768601417541504,2
yf_daily_close_ma_20_mean,57.4193000793457,2
yf_daily_volume_velocity_20_sum,55.0447998046875,1
pre14_am_volume_to_dailyvol_20d,53.894500732421875,2
pre14_volume_14h_ratio_to_avg_hourly,52.1652193069458,3
pre14_am_turnover_to_dailyturnover_20d,50.488800048828125,1
pre14_ret_11_to_14,50.40610122680664,1
pre14_pm_am_volume_ratio,49.762301445007324,3
yf_daily_turnover_mean,47.45930099487305,1
yf_daily_volume_ma_60_sum,46.3745002746582,1
yf_daily_volume_ma_5_mean,45.01500129699707,2
ctx_broker_net_buy_rank_mean,44.51539993286133,1
tfl_churn_ratio_ma_5_sum,44.26499938964844,1
yf_daily_volume_ma_20_sum,44.02470016479492,1
yf_daily_gap_open_prev_close_sum,43.4541015625,1
yf_daily_range_ma_60_sum,42.40880012512207,2
yf_daily_close_z_60_mean,40.78584802150726,3
pre14_until14_turnover_to_dailyturnover_10d,39.722201347351074,2
pd_tfl_net_buy_z_20,37.97829818725586,1
cvd_20d,36.45490074157715,2
pre14_am_turnover_to_dailyturnover_10d,35.857601165771484,2
yf_daily_gap_open_prev_close_mean,33.200119972229004,3
localfund_buy_freq_ma30,31.63092041015625,2
pre14_pm_am_volume_rate_ratio,31.312400817871094,2
localfund_netbuy_3d_sum,31.048999786376953,1
ctx_broker_net_buy_rank_sum,30.659700393676758,1
yf_daily_range_ma_5_sum,30.111940383911133,2
yf_daily_range_ma_5_mean,29.179100036621094,1
yf_daily_prev_close_sum,28.91939926147461,1
pre14_pm_am_turnover_ratio,23.498300075531006,3
